gene	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_B_cell	Control_#2_neutrophil	Control_#3_T_cell	Control_#3_neutrophil	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_platelet	Control_#3_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	SARS_CoV2_pos_Severe_#3_B_cell
RPAP2	646	103	3	1	24	664	97	51	0	465	3	1	85	1	50	1596	2	174	143	0	0	2	136	11	793	172	97	16	13	192	0	655	130	27
SEPTIN7	795	245	3	14	36	926	188	42	8	639	45	1	174	17	58	2400	13	233	360	0	58	7	358	45	1733	365	412	252	25	425	200	1671	229	56
CBX3	249	118	0	3	15	255	88	13	1	198	9	1	83	0	10	920	5	60	202	1	7	1	195	10	639	75	209	71	24	101	26	555	91	9
HNRNPA2B1	1846	556	9	8	70	1729	465	121	3	1128	28	2	392	8	121	3960	12	403	799	2	48	19	892	42	2821	550	902	192	126	824	167	3210	385	76
NT5C3A	83	20	1	26	3	112	22	9	0	92	2	2	30	20	5	243	3	52	45	1	72	6	46	6	146	30	38	41	49	40	360	211	22	9
CLTA	102	113	0	2	2	117	93	2	0	84	2	0	96	3	5	444	3	40	213	1	12	1	207	7	394	37	193	25	5	39	33	295	41	5
SRGN	1220	2246	108	32	4	1546	1946	7	212	1028	898	8	1663	60	4	2021	311	21	2686	4	161	0	2381	782	2211	41	3034	5040	65	100	438	2823	186	5
VPS26A	94	51	1	3	4	99	38	4	0	86	2	3	28	0	6	227	2	16	73	2	4	8	71	8	191	34	101	33	23	50	7	166	17	4
MED13L	242	231	3	0	6	242	194	31	6	140	49	4	164	1	27	574	25	66	315	3	1	21	446	73	337	114	409	196	59	117	9	351	62	13
RNF11	61	67	1	11	1	68	31	3	0	40	7	18	30	9	0	77	4	1	45	22	28	77	80	10	70	19	75	54	184	17	85	93	7	1
ITPR2	90	48	1	2	5	73	37	8	1	57	3	0	39	1	8	227	0	20	65	0	6	1	109	4	118	31	44	30	4	48	24	135	24	5
TRIR	472	209	2	5	24	474	138	33	0	385	7	0	141	12	39	1292	9	140	289	1	22	16	275	4	896	160	272	75	28	216	70	930	111	22
PFDN5	1785	931	0	0	71	1718	792	118	2	1441	15	12	852	1	119	4763	11	479	1429	18	3	53	1326	20	2551	566	1400	182	155	1007	27	3877	490	111
SPATS2	155	55	3	1	8	154	31	10	0	110	8	1	42	0	11	607	3	48	90	0	6	3	111	14	293	53	42	16	7	36	11	211	62	19
TUBA1B	212	295	0	21	10	384	176	19	5	193	18	1	335	19	10	944	7	68	388	0	109	16	561	5	1512	49	365	24	61	103	219	1505	126	16
AMD1	180	69	0	3	7	297	66	18	1	115	3	1	57	8	18	415	3	26	119	0	21	0	113	5	307	57	79	14	14	77	35	384	35	7
NMI	75	37	4	0	5	58	33	4	3	61	19	1	27	0	5	297	20	22	87	1	0	0	74	8	214	43	78	69	12	23	10	179	28	4
BAZ2B	372	217	7	0	14	410	180	40	5	275	33	1	121	0	26	1157	21	107	361	0	3	3	332	42	698	153	160	147	15	131	3	513	137	39
LPGAT1	132	115	1	0	7	117	72	9	4	87	16	0	66	0	12	218	9	38	139	1	0	0	118	24	168	49	104	130	3	80	5	175	25	4
AGO2	81	37	2	5	3	91	40	4	1	57	9	2	15	1	3	221	4	25	80	5	0	23	53	3	152	28	48	50	33	29	8	147	19	1
PREX1	135	88	4	0	5	138	82	6	7	94	20	0	69	1	7	283	17	15	120	0	0	1	141	23	256	26	84	165	3	19	3	187	21	4
NCOA3	98	71	0	0	14	106	56	19	0	92	2	0	49	1	35	319	1	98	115	0	5	0	101	4	146	138	103	24	4	171	24	203	26	21
ATP5F1E	1869	1321	7	14	66	2086	1043	127	22	1478	86	116	1224	18	145	5764	54	494	1944	174	95	983	2096	137	3690	565	1839	1050	2427	773	327	4062	611	119
SRSF6	160	90	1	3	9	182	67	18	0	131	1	0	69	1	20	348	0	32	108	0	6	2	122	3	248	76	93	14	8	110	54	309	23	15
STAU1	98	42	0	0	2	93	37	5	0	77	4	4	27	5	7	314	1	32	71	8	4	36	60	11	187	34	97	40	93	49	23	194	37	3
STX16	226	83	0	2	2	200	60	7	4	157	9	2	61	0	3	597	1	26	94	0	1	5	104	4	356	28	83	35	12	43	6	292	51	12
USP22	99	50	0	0	8	105	46	9	2	59	5	1	29	2	6	266	2	30	77	0	10	1	75	7	202	40	44	20	1	51	21	189	29	11
USP9X	97	67	4	2	5	134	51	12	2	97	13	2	48	0	13	266	7	30	100	2	2	15	82	21	153	38	67	51	59	60	11	180	19	6
RPS10	6430	1279	0	0	197	7851	1389	464	6	6307	10	3	1474	1	594	18222	4	1711	2237	12	4	77	1666	11	9799	2008	1905	75	248	3760	17	15549	1876	379
DEK	368	211	1	4	8	407	168	14	2	282	11	0	171	1	17	1078	4	73	293	0	13	2	329	4	901	76	306	104	19	126	14	1002	84	18
LRRFIP1	508	786	15	8	22	600	663	60	18	412	88	4	563	3	30	1502	42	124	1025	1	4	0	760	84	1107	149	901	625	8	354	61	969	129	30
EMC3	106	54	0	12	5	110	48	7	2	96	5	17	48	18	14	274	5	28	87	37	48	133	108	12	194	35	115	42	394	30	197	223	31	7
TM9SF2	57	86	1	0	6	72	74	6	1	51	4	0	73	1	5	195	5	13	108	0	1	0	155	2	158	23	101	16	4	50	7	140	14	5
IRF1	1840	508	60	0	48	1769	559	54	36	1329	101	0	441	1	52	2105	89	176	576	4	0	6	679	317	2261	345	525	577	26	326	4	2057	133	56
NDUFA1	520	229	2	4	10	464	217	26	1	398	9	4	214	4	20	1178	11	93	352	1	19	24	337	13	989	120	413	132	122	167	50	1103	143	22
PPDPF	485	113	0	25	21	858	166	59	0	473	0	1	119	52	31	2328	1	229	394	7	71	40	205	0	1006	173	292	9	43	336	154	1324	214	23
RPL23	3813	1306	2	1	130	3562	1299	285	3	2151	12	2	1321	1	269	8707	5	894	1835	2	3	7	1565	15	4938	1103	1775	112	105	1860	13	7515	623	129
FOSB	602	278	11	1	17	1039	325	35	20	403	52	0	151	0	25	830	22	49	422	2	0	2	418	35	371	46	109	113	5	136	2	481	23	8
VASP	73	250	11	7	2	129	225	13	18	69	51	1	209	5	8	381	25	38	386	0	30	0	377	60	217	33	507	354	5	72	120	218	35	19
GPCPD1	115	475	4	0	4	86	319	10	2	73	29	1	278	0	12	184	5	26	292	0	1	12	485	37	197	40	356	98	107	41	16	191	12	4
PANK2	95	42	2	1	1	94	24	3	2	80	8	1	27	1	4	259	5	21	59	1	9	3	67	16	155	13	70	47	0	18	17	148	31	7
TMX4	165	63	1	2	6	179	60	10	2	139	15	0	47	0	6	335	5	24	94	0	2	2	108	16	231	59	107	85	3	86	16	229	24	7
SNRPB	360	129	0	0	13	379	82	20	1	260	2	0	124	1	25	874	1	70	202	0	4	4	163	7	884	131	229	37	10	216	13	899	94	24
MAX	172	47	3	32	4	187	24	10	2	106	11	0	33	23	7	426	4	27	69	1	82	5	75	6	267	38	60	67	21	49	218	310	35	7
RALY	132	56	0	5	2	136	49	8	0	110	5	0	51	1	7	329	1	29	98	0	9	5	89	7	298	29	118	25	7	61	43	320	26	4
DYNLRB1	178	44	0	2	2	201	55	5	0	169	3	1	57	6	9	588	1	42	111	3	31	19	87	5	366	31	137	32	63	80	137	464	53	10
MMP24OS	98	46	1	3	2	100	35	5	0	61	5	1	43	4	6	267	1	22	90	3	8	13	109	6	157	28	85	26	12	21	20	152	24	1
CAPNS1	155	179	0	2	1	175	139	9	1	116	4	0	147	5	13	452	1	33	251	2	33	3	274	7	298	37	247	18	10	60	68	289	45	9
HCST	910	310	0	1	2	1287	283	3	4	816	4	0	251	6	0	3295	5	30	533	1	17	0	365	3	1587	16	329	45	13	38	126	1741	292	5
COX6B1	442	256	1	6	22	486	229	28	2	424	17	3	267	6	23	1446	7	126	453	3	31	58	417	13	877	108	556	150	206	179	120	1352	195	36
PRDX5	191	123	1	4	7	181	84	17	3	107	13	10	104	9	12	572	4	54	162	33	31	41	209	6	332	68	215	146	60	97	97	506	58	8
BECN1	87	35	1	0	1	95	33	10	1	78	4	0	31	3	11	172	5	16	58	2	2	13	45	5	139	29	66	13	17	34	14	160	21	1
UXT	421	101	0	2	12	420	95	27	1	340	3	0	98	0	41	1139	0	100	164	0	6	2	125	3	649	137	146	16	22	191	18	873	101	15
MAP2K2	173	79	0	1	6	201	79	16	0	155	3	7	71	1	12	528	2	62	134	6	8	34	126	4	399	79	146	45	53	88	25	491	63	16
HNRNPH2	96	81	1	1	5	82	48	8	0	82	15	0	59	0	5	206	13	21	98	0	7	0	105	18	170	22	116	57	9	38	15	190	8	5
COX7C	1574	483	0	1	48	1435	417	91	0	1156	2	3	482	2	96	4343	1	359	724	6	8	51	647	1	2548	420	815	13	206	641	37	3425	454	71
RAP1B	796	416	3	98	12	831	453	43	5	642	31	1	497	60	20	1923	18	126	512	1	300	1	563	15	1301	150	980	201	37	300	1208	1291	150	31
UBR4	96	74	0	1	3	110	57	7	3	63	13	2	50	0	9	201	2	22	78	0	6	9	126	21	192	51	73	67	23	41	11	135	16	7
HP1BP3	387	107	3	0	12	409	90	21	2	297	12	1	88	0	14	966	1	86	157	1	2	3	160	15	620	82	214	41	19	133	4	648	95	28
SLC35E1	71	40	0	2	4	68	23	4	1	44	7	1	30	1	8	161	2	14	80	0	6	0	62	11	213	24	39	40	3	15	19	107	14	3
KLF2	3140	175	5	0	112	3050	153	328	13	2130	106	3	220	1	207	4785	63	496	305	7	0	3	316	101	3080	435	703	465	52	2328	5	4132	328	91
UQCR11	572	328	0	12	10	567	239	30	7	448	19	10	263	13	16	1539	12	125	506	17	49	109	417	11	993	117	518	131	212	195	188	1236	196	28
MACF1	819	291	1	4	27	733	227	43	5	498	35	1	178	3	34	1961	8	182	312	0	16	1	431	26	1267	228	273	105	13	158	48	873	173	18
TUBA4A	183	30	0	81	5	185	10	12	3	138	15	2	25	79	7	517	1	36	38	2	178	7	52	11	407	28	49	71	74	36	531	319	39	6
AKAP9	351	128	0	0	9	411	147	32	1	298	11	0	112	0	26	1068	4	132	267	0	18	23	234	4	585	151	129	14	73	134	3	558	95	14
ZFP36	1078	679	33	0	19	1413	486	29	72	658	171	1	564	1	22	1147	38	68	758	0	1	1	969	190	1402	71	637	707	18	205	4	1467	37	12
ATF4	284	218	0	13	11	369	182	27	1	162	5	1	193	5	21	471	4	49	230	0	34	6	339	8	475	99	321	35	39	206	156	562	37	15
TPST2	164	49	2	14	1	176	38	10	1	124	4	0	44	8	6	366	4	17	64	1	50	4	117	12	209	35	79	55	36	18	237	166	28	3
RAC2	454	150	4	0	23	553	140	27	8	362	29	0	122	2	37	1689	22	124	235	1	4	2	222	35	970	98	328	157	8	167	20	1018	208	43
ATP6V1F	135	258	0	7	7	164	192	9	0	111	6	0	181	1	11	431	7	45	360	0	9	14	341	4	309	56	375	44	17	129	31	347	48	12
NDUFA5	179	27	0	2	7	183	25	11	1	126	2	0	38	6	15	513	1	40	79	0	25	15	57	4	332	54	83	17	43	96	60	362	49	11
HAT1	55	25	0	1	2	66	29	6	1	52	3	0	23	0	3	191	2	21	50	0	1	0	46	6	135	19	39	24	1	21	5	161	15	6
MINDY2	214	61	0	0	15	221	46	15	2	160	23	0	59	1	10	552	9	31	87	1	4	0	109	22	317	50	58	59	5	41	5	216	39	7
ARPP19	149	46	1	7	10	139	32	17	0	101	2	0	33	3	18	302	4	36	69	0	8	2	71	8	265	77	75	25	9	125	15	236	25	8
MBD4	117	85	1	2	14	120	45	14	1	67	5	0	44	1	22	263	3	80	88	0	0	0	85	14	178	48	84	45	6	52	2	220	21	8
SPCS3	206	199	2	0	8	269	124	8	3	191	6	0	111	0	9	617	5	34	212	0	4	0	266	5	573	60	250	46	10	88	14	754	112	14
FXR2	272	26	2	0	10	239	19	10	1	162	3	0	17	1	8	356	2	24	37	0	0	2	46	9	279	28	30	14	5	41	2	164	28	3
PHF20L1	196	98	2	4	6	166	66	10	3	137	26	0	84	3	16	396	6	24	151	0	10	2	156	31	278	51	74	122	20	46	50	223	23	5
SLC44A2	71	13	1	3	4	68	16	10	4	46	6	1	14	5	4	175	4	23	34	0	19	0	35	8	114	36	37	44	7	43	42	115	16	2
CDKN2D	294	217	4	31	8	226	133	14	4	204	72	18	197	39	12	451	20	51	215	21	132	55	288	42	300	43	435	295	134	79	411	634	83	4
SNX6	191	63	3	0	3	195	42	9	1	149	12	0	62	3	11	637	5	61	123	0	9	0	119	7	362	61	142	74	9	93	22	478	63	7
DAD1	222	104	1	4	5	298	77	10	1	242	3	1	69	3	13	836	6	45	150	0	19	9	127	4	415	32	165	37	57	67	94	601	114	9
REEP5	131	123	1	1	3	151	106	9	2	150	5	0	118	0	10	328	3	46	197	1	10	1	219	4	395	36	266	58	8	61	22	289	64	3
SEC14L1	79	84	4	4	0	74	92	10	3	71	53	17	79	2	7	179	21	10	148	8	49	44	166	70	185	30	163	240	136	55	150	270	15	4
ABHD17A	409	93	0	5	2	426	47	9	1	277	1	0	59	8	14	818	2	33	94	0	29	0	96	1	665	38	127	18	8	52	82	636	87	6
SAT1	721	2303	141	51	12	614	2025	40	175	440	556	13	2072	99	33	947	369	88	2851	13	258	19	3041	662	1225	273	2827	2581	80	364	480	1289	118	29
GNL3L	460	144	6	2	21	423	118	45	4	361	14	1	105	0	29	1002	13	101	194	0	2	7	219	34	665	127	120	83	12	129	5	511	75	15
LDLR	600	398	7	0	16	560	250	29	8	325	35	1	229	3	34	1464	6	137	406	0	0	1	473	51	937	157	258	148	12	108	1	787	184	29
RPL36	6777	1113	1	1	231	6603	1090	376	0	5187	0	4	1091	0	489	19310	1	1830	2221	8	3	33	1396	4	10381	2097	1456	33	161	2901	26	12868	1992	358
PGLS	106	177	2	0	3	125	138	7	1	92	6	0	135	0	17	405	1	45	237	0	1	0	230	6	257	57	264	36	3	89	7	340	48	15
SNX9	169	72	0	5	19	131	58	38	0	73	3	0	84	2	9	303	1	56	109	0	13	2	91	2	418	348	177	14	7	257	58	357	21	3
ARPC1B	463	775	0	97	10	617	565	38	5	461	33	0	721	80	26	1929	13	164	1315	0	311	0	1250	18	1416	169	1192	185	29	244	903	1291	232	57
JUND	6280	1761	27	1	209	6078	1139	429	76	4365	163	14	1121	3	327	6498	95	780	1492	24	12	83	1406	135	5462	1963	1523	656	366	3999	33	7003	454	185
CHMP2A	153	124	1	3	2	156	73	8	4	103	23	1	122	0	8	472	13	34	215	3	8	21	149	25	340	39	224	173	63	67	47	348	56	9
UBE2M	112	69	0	4	0	150	34	12	0	97	8	2	65	2	2	319	5	26	91	3	3	11	77	14	191	32	100	48	76	44	28	243	41	8
GMFG	695	382	8	6	8	746	291	25	12	558	97	2	392	6	31	2156	54	116	583	0	21	2	569	68	1499	97	861	718	19	164	98	1949	243	16
CLIP1	386	178	1	4	9	281	128	25	1	262	18	1	143	0	18	1028	2	102	317	0	8	1	342	43	628	134	232	118	7	120	23	405	101	23
ZNF426	425	115	5	0	25	401	110	25	1	285	27	0	131	2	20	1172	4	119	231	1	0	2	251	32	747	122	107	58	5	95	2	431	101	26
RBM39	1554	521	5	5	55	1262	358	86	5	963	35	0	398	3	100	2438	17	259	634	1	15	24	658	50	2231	614	696	208	112	1003	84	2610	192	65
COX4I1	1304	634	1	3	51	1280	521	86	2	990	9	3	533	5	100	3399	3	304	963	0	20	6	807	11	2364	484	935	85	43	687	64	3010	337	69
SH3BGRL	184	302	0	10	9	225	219	22	0	174	13	22	281	22	27	653	4	106	457	17	50	63	436	5	401	93	434	65	210	152	142	466	58	21
COX7B	375	257	0	2	10	378	202	14	2	268	11	1	222	2	27	983	5	72	380	2	10	54	315	8	813	91	453	94	265	156	30	1005	122	19
CAP1	218	282	4	17	3	280	200	14	8	174	56	0	232	13	8	718	23	67	463	0	40	1	436	43	493	43	469	334	13	63	166	448	75	13
SH3BP5	115	50	4	1	9	110	50	12	1	135	9	0	45	1	13	298	8	66	90	0	11	0	48	10	263	112	41	41	4	78	22	248	47	15
NR1H2	117	49	1	1	3	97	33	8	1	73	2	0	51	3	14	209	2	22	75	1	6	3	60	2	135	34	105	21	30	73	19	172	18	1
NDUFA2	210	100	0	0	8	189	96	12	1	154	6	0	88	1	13	547	4	36	140	5	1	32	140	11	381	47	197	86	124	81	19	596	78	19
DIAPH1	221	191	1	10	1	262	129	13	0	172	5	0	136	11	6	601	2	24	240	0	23	1	178	8	376	21	166	34	4	54	69	284	52	6
UBE2D2	373	94	0	1	12	348	78	27	4	265	7	0	88	2	25	1105	4	114	165	6	4	8	173	8	712	147	216	58	34	154	27	851	105	18
DNAJB1	1743	197	1	2	109	1746	169	55	0	876	23	1	127	2	79	1682	12	142	251	2	0	6	317	52	1410	305	258	95	56	311	10	1156	137	19
RAF1	190	154	5	0	7	212	85	12	9	151	58	0	94	0	17	449	23	43	135	1	0	4	229	134	465	103	147	261	11	97	8	319	43	8
SEC61G	345	163	0	1	8	394	125	10	1	357	3	0	114	0	18	960	1	57	228	0	2	6	194	1	763	94	241	12	20	125	23	893	174	13
WBP2	71	50	1	18	3	59	30	7	1	54	9	10	33	7	5	220	8	23	73	16	53	39	57	14	95	22	50	49	151	38	149	114	23	1
H3-3B	2236	1036	43	12	39	2304	776	135	92	1449	382	1	852	18	106	3996	194	361	1442	4	49	13	1687	335	5496	584	1846	1748	118	1424	135	7438	490	135
KDM6B	345	221	15	0	8	333	214	15	16	217	76	4	163	2	6	315	29	30	309	0	1	4	259	101	339	48	113	275	1	93	1	232	16	5
FLOT2	66	37	3	0	1	80	27	3	1	55	13	0	32	1	8	177	3	22	51	0	3	6	66	6	119	33	40	55	16	23	1	113	19	7
NASP	283	73	0	1	11	428	44	26	1	281	7	0	68	1	21	846	8	74	131	0	0	1	122	7	815	79	87	27	8	68	5	628	85	9
RBM38	273	26	0	8	9	226	25	29	0	150	1	88	6	3	11	412	1	57	27	130	15	521	23	3	497	107	36	8	1043	98	39	358	21	2
OSER1	149	63	2	0	5	132	58	18	7	105	18	2	52	0	10	201	7	32	38	3	4	10	53	18	271	39	100	92	41	61	13	274	7	8
SERINC3	201	96	4	2	4	193	57	11	5	162	15	3	57	0	7	348	4	22	103	4	14	16	118	35	364	29	97	122	46	52	41	277	23	0
POMP	189	166	0	0	4	274	118	16	1	180	11	2	134	0	11	571	8	59	258	2	5	6	281	5	707	95	378	79	57	142	34	696	81	14
TPT1	17882	4886	16	18	388	16985	3854	685	21	13503	142	79	4053	24	876	49561	63	3130	6509	131	75	295	6367	144	29400	3924	5733	760	1730	5810	429	37962	5195	671
SRRM1	634	245	1	0	28	687	212	43	2	474	4	0	229	1	53	1569	8	151	424	0	3	6	416	12	1293	213	427	71	15	301	16	1337	172	43
CSNK1G2	154	54	1	0	3	159	36	8	1	105	5	0	38	0	5	365	1	33	90	0	2	0	69	9	190	41	87	36	2	65	9	189	25	8
MKRN1	100	90	0	9	1	97	85	7	2	74	8	127	79	3	14	258	7	33	117	139	29	439	184	18	165	46	148	61	1115	57	66	205	28	8
BTG1	4544	745	5	2	97	3980	392	277	8	2825	72	3	540	0	188	9036	26	797	889	3	1	5	777	59	6789	1157	744	390	143	1181	22	7612	376	95
KRAS	210	64	2	0	9	219	55	15	0	147	12	0	94	1	15	496	1	38	118	0	7	0	124	10	383	78	183	145	14	222	22	426	47	16
ZFC3H1	207	95	1	0	4	176	74	11	5	113	7	0	74	1	14	398	3	33	103	0	0	1	111	18	286	59	118	54	6	114	2	285	23	7
SARAF	1568	251	4	2	23	1403	206	48	7	917	26	5	229	3	26	3519	6	138	378	5	11	15	294	46	2608	228	435	211	102	260	38	2712	313	27
NUMB	101	159	2	0	6	106	120	10	4	58	39	1	103	4	16	301	18	42	231	0	5	1	268	42	147	56	139	213	2	46	10	105	15	6
MBD2	152	197	0	1	4	177	113	17	0	125	8	1	128	1	12	315	1	43	187	0	1	3	279	11	333	68	578	88	5	93	9	301	33	4
VHL	152	118	2	0	6	124	83	16	1	90	10	1	68	0	24	383	2	50	119	0	0	1	148	16	233	71	83	86	17	88	7	235	45	11
LAMTOR5	163	121	0	0	21	162	68	19	5	121	10	6	105	0	27	435	4	74	149	6	4	58	149	4	367	78	161	40	184	140	20	333	53	12
NAPG	54	51	0	1	3	63	40	7	0	38	3	0	45	1	4	146	2	11	92	0	2	0	81	4	156	35	95	10	67	24	96	175	10	2
PPHLN1	589	152	6	0	25	426	65	35	1	342	10	0	96	1	37	1300	11	137	170	0	1	5	179	21	916	129	121	67	22	179	1	800	135	42
SLC38A2	328	136	0	1	13	366	102	15	1	205	7	1	85	0	13	595	6	40	159	0	3	0	176	11	447	82	200	73	33	111	7	500	25	7
KIDINS220	513	214	4	1	20	507	161	29	1	386	22	2	107	2	29	1090	17	99	264	0	2	16	320	25	694	140	195	148	48	124	12	578	74	14
TIMM17A	415	214	3	0	17	407	151	24	5	289	17	0	139	1	22	899	4	105	229	1	0	2	265	21	638	132	181	108	6	157	0	492	88	19
RPS15A	11959	1831	3	7	346	11474	1658	575	2	9740	11	6	2020	7	741	32828	10	2754	3215	20	12	98	2139	14	19643	2966	2537	145	431	4840	129	23170	3101	553
DSG3	439	146	7	0	21	426	133	28	4	333	23	1	110	0	25	1133	12	117	229	0	0	2	242	39	664	183	148	73	9	164	6	499	92	29
TMEM258	408	179	1	0	7	367	131	17	3	331	2	0	157	1	16	1102	5	61	283	0	5	2	217	3	648	60	254	31	16	128	28	769	134	13
ARGLU1	641	147	0	1	28	598	131	67	1	432	12	0	97	0	62	1679	8	203	232	2	4	2	212	4	1076	295	238	63	31	335	3	1018	146	29
OSTF1	177	90	0	8	2	183	69	8	7	120	17	0	84	5	9	525	8	42	129	0	16	0	119	4	345	52	168	96	4	59	75	294	56	6
UBQLN1	108	66	0	0	4	95	45	5	0	87	5	3	47	2	6	205	1	20	80	2	2	18	80	7	184	28	93	37	72	65	15	192	15	3
ISCA1	144	24	0	11	2	163	20	9	0	131	3	55	25	6	4	273	1	8	29	29	35	312	42	10	296	42	38	36	507	54	151	317	26	3
TAOK3	220	131	2	5	1	214	105	13	3	148	14	0	108	2	12	636	7	52	205	0	30	3	199	13	357	73	207	84	14	109	47	315	56	8
P2RX4	124	156	2	0	6	99	109	12	2	85	3	0	114	0	6	289	2	25	131	0	0	0	228	13	181	20	178	25	0	27	7	127	33	4
PNPLA8	110	110	4	0	6	116	94	18	1	85	30	3	83	0	10	186	6	35	144	0	0	9	147	30	236	61	120	137	52	58	5	226	17	5
AKIRIN2	88	154	1	6	8	115	129	9	2	65	6	0	111	8	5	220	8	24	140	1	32	5	135	16	134	64	185	87	37	97	147	203	19	7
CD63	223	434	1	10	2	307	250	10	0	190	29	0	317	15	9	686	10	40	680	0	65	1	952	20	422	55	1292	283	8	86	261	590	74	10
BLOC1S1	150	123	0	0	9	133	98	17	1	100	3	1	136	1	15	432	7	68	328	1	11	23	282	6	368	71	368	100	45	118	31	354	54	12
CD164	251	160	0	1	9	239	132	20	2	176	9	0	139	3	31	700	0	65	293	0	9	10	284	16	453	91	273	52	23	147	22	546	64	12
USP15	413	295	1	1	13	395	209	25	7	278	27	18	168	0	27	967	28	84	388	21	7	51	360	37	646	154	284	185	382	167	42	661	78	15
MDM2	125	46	1	2	3	82	35	5	1	73	2	3	32	0	2	228	6	15	60	0	2	9	70	7	189	36	75	30	26	41	13	149	18	4
RC3H1	108	77	3	2	7	144	58	10	3	86	8	1	35	0	8	294	5	32	101	1	2	12	129	8	210	44	74	51	20	33	8	162	20	9
CAB39	86	32	1	3	2	86	21	11	1	59	2	0	23	1	4	225	3	18	83	0	9	2	75	12	142	23	72	45	4	21	29	173	22	2
COX5B	457	242	3	0	16	468	219	20	1	396	15	0	222	1	25	1299	7	129	420	0	6	19	400	13	943	128	631	133	52	201	28	1250	152	38
TSGA10	147	91	4	0	8	134	66	10	2	114	9	0	47	1	9	329	1	23	71	0	0	2	81	14	162	28	72	47	5	30	0	134	22	4
GCC2	907	131	2	1	27	763	85	36	4	444	10	1	63	0	30	1714	8	138	176	1	3	4	176	28	1577	213	181	72	45	318	9	1439	173	21
ISCU	286	65	0	6	8	226	53	31	0	224	13	12	65	5	33	778	4	109	102	31	18	137	103	6	521	146	135	64	377	195	100	563	88	19
VPS36	161	61	1	0	5	176	61	15	2	154	4	0	51	0	10	561	2	69	114	0	0	3	107	7	292	56	78	12	2	63	5	245	56	14
ITM2B	1377	861	19	60	23	1238	656	27	84	916	313	8	511	98	29	3573	199	152	1129	16	384	80	1267	280	2049	182	1259	2333	323	163	877	2595	289	14
LCP1	607	877	9	1	11	702	580	34	34	488	118	1	601	1	17	1565	40	103	992	0	0	1	1319	153	1345	91	1070	1065	16	159	10	1279	185	22
CHST12	2212	586	11	1	129	2315	433	175	16	1777	73	5	454	3	180	6411	49	777	854	4	6	12	1212	143	3831	808	601	384	35	594	17	2615	646	140
RAC1	306	451	7	15	9	348	327	21	9	205	34	1	336	22	21	743	22	60	589	0	65	9	894	54	627	107	737	324	39	110	241	548	70	15
DBNL	117	87	1	6	9	129	77	25	3	86	3	0	70	2	15	344	3	53	140	0	29	0	115	10	250	91	134	30	4	71	65	297	47	12
CCM2	272	77	0	1	8	226	58	18	1	203	7	1	60	1	19	602	0	56	97	0	5	1	121	7	367	52	101	35	3	67	16	276	46	8
BRIP1	948	297	7	0	48	1007	232	63	10	597	45	1	232	1	54	2957	17	299	467	3	2	9	587	106	1621	264	194	163	20	238	0	919	302	88
TRA2B	673	161	0	5	34	628	138	60	3	449	3	0	126	0	46	1176	5	157	272	0	11	2	254	8	1032	268	279	32	45	460	29	1280	154	44
TANK	160	133	7	0	15	149	131	14	2	105	19	5	92	1	12	223	10	50	147	3	2	12	135	46	248	96	139	205	96	101	4	221	19	11
UGGT1	219	117	4	2	5	239	92	18	6	166	15	1	77	0	10	700	7	62	160	1	2	7	176	17	435	81	82	43	13	49	6	291	79	21
GYPC	323	40	0	0	10	361	22	10	6	227	3	106	31	0	12	960	7	51	54	205	7	703	62	4	763	62	76	11	1787	81	17	1189	167	9
ABI1	126	56	0	1	7	147	41	10	1	88	11	0	59	5	9	295	2	41	74	0	10	2	87	17	217	49	73	75	8	77	30	191	18	4
YME1L1	472	97	7	1	23	416	72	17	7	274	23	0	68	1	16	716	13	48	154	1	4	1	139	23	487	103	91	82	13	182	9	591	64	22
TXN	207	168	2	0	3	240	107	14	5	227	39	6	131	2	3	689	24	28	251	14	5	33	250	40	749	31	330	302	146	75	38	1019	89	17
C9orf78	481	102	0	1	15	409	85	25	1	321	11	64	95	0	22	1093	4	60	175	117	3	166	160	11	894	106	248	43	163	132	12	842	106	14
ATP6V1G1	652	269	1	0	25	522	202	32	9	464	11	0	225	6	50	1608	15	176	396	1	7	7	348	15	940	145	427	145	25	189	45	1163	142	32
