	G3R1_Cortex_3xTgAD	G3R3_Cortex_3xTgAD	G3R4_Cortex_3xTgAD	G3R10_Cortex_WT	G3R7_Cortex_WT	G3R9_Cortex_WT
ENSMUSG00000094422	0	0	0	0	0	0
ENSMUSG00000094423	0	0	0	0	0	0
ENSMUSG00000094424	0	0	0	0	0	0
ENSMUSG00000094426	0	0	0	0	0	0
ENSMUSG00000094427	0	0	0	0	0	0
ENSMUSG00000094428	0	0	0	1	0	0
ENSMUSG00000094429	0	0	0	1	0	1
ENSMUSG00000094430	0	0	0	0	0	0
ENSMUSG00000094431	0	0	0	0	0	0
ENSMUSG00000094432	0	0	0	1	0	1
ENSMUSG00000094433	0	0	0	0	0	0
ENSMUSG00000094435	46	42	33	82	29	62
ENSMUSG00000094436	0	0	0	0	0	0
ENSMUSG00000094437	0	0	0	0	0	0
ENSMUSG00000094438	5	4	7	4	5	9
ENSMUSG00000094439	1689	1967	1862	2047	2330	1887
ENSMUSG00000094440	0	0	0	0	0	0
ENSMUSG00000094441	273	266	308	323	215	370
ENSMUSG00000094442	5	4	7	4	5	9
ENSMUSG00000094443	1	2	1	0	0	0
ENSMUSG00000094444	0	0	0	0	0	0
ENSMUSG00000094445	0	0	0	0	0	0
ENSMUSG00000094446	35	58	79	60	70	51
ENSMUSG00000094447	49	67	83	97	82	66
ENSMUSG00000094449	0	0	0	0	0	0
ENSMUSG00000094452	2	0	0	0	0	0
ENSMUSG00000094454	0	0	0	0	0	0
ENSMUSG00000094455	0	0	0	0	0	0
ENSMUSG00000094456	6	7	2	9	4	2
ENSMUSG00000094457	3	1	0	1	0	2
ENSMUSG00000094458	5	4	7	4	5	9
ENSMUSG00000094460	3	1	0	0	0	0
ENSMUSG00000094461	0	0	0	0	1	0
ENSMUSG00000094462	0	3	0	2	2	2
ENSMUSG00000094463	0	0	3	0	0	3
ENSMUSG00000094464	0	0	0	0	0	0
ENSMUSG00000094465	5	4	7	4	25	10
ENSMUSG00000094466	0	0	0	0	0	0
ENSMUSG00000094467	0	0	1	0	0	0
ENSMUSG00000094468	0	0	0	0	0	0
ENSMUSG00000094470	0	0	0	0	0	0
ENSMUSG00000094471	0	1	0	0	0	0
ENSMUSG00000094472	0	0	0	0	0	0
ENSMUSG00000094473	0	0	0	0	0	0
ENSMUSG00000094474	0	0	0	0	0	0
ENSMUSG00000094475	1738	1593	1779	2504	1753	2423
ENSMUSG00000094476	5	4	7	4	25	10
ENSMUSG00000094477	0	0	0	0	0	0
ENSMUSG00000094478	0	0	0	0	0	0
ENSMUSG00000094481	0	0	0	0	0	0
ENSMUSG00000094482	0	0	0	0	0	0
ENSMUSG00000094483	12152	13519	12680	18735	12306	14944
ENSMUSG00000094484	0	0	0	0	0	0
ENSMUSG00000094485	0	0	0	0	0	0
ENSMUSG00000094486	37	29	32	26	30	25
ENSMUSG00000094487	83	100	75	98	99	80
ENSMUSG00000094488	0	0	0	0	0	0
ENSMUSG00000094489	0	0	0	0	0	0
ENSMUSG00000094491	0	0	0	0	0	0
ENSMUSG00000094493	0	0	0	0	0	0
ENSMUSG00000094494	0	2	1	0	0	0
ENSMUSG00000094496	0	0	0	0	0	0
ENSMUSG00000094497	537	613	603	549	731	627
ENSMUSG00000094498	2	1	2	1	0	2
ENSMUSG00000094499	0	0	0	0	0	0
ENSMUSG00000094500	127	164	114	135	146	131
ENSMUSG00000094501	0	0	0	0	0	0
ENSMUSG00000094502	0	0	0	0	0	0
ENSMUSG00000094503	0	0	0	0	0	0
ENSMUSG00000094504	0	0	0	0	0	1
ENSMUSG00000094505	0	0	0	0	0	0
ENSMUSG00000094506	3	1	0	1	0	2
ENSMUSG00000094507	0	0	0	0	0	0
ENSMUSG00000094508	5	8	7	6	29	13
ENSMUSG00000094509	0	0	0	0	0	0
ENSMUSG00000094510	0	0	0	0	0	0
ENSMUSG00000094511	10	8	9	1	0	0
ENSMUSG00000094513	5	4	7	4	9	9
ENSMUSG00000094514	0	0	0	0	0	0
ENSMUSG00000094515	2	1	1	1	0	0
ENSMUSG00000094516	0	0	0	0	0	0
ENSMUSG00000094517	0	0	9	9	0	39
ENSMUSG00000094518	5	6	15	18	7	9
ENSMUSG00000094519	0	0	6	10	0	16
ENSMUSG00000094520	0	0	0	0	0	0
ENSMUSG00000094521	0	0	0	0	0	0
ENSMUSG00000094522	5	5	7	4	5	9
ENSMUSG00000094523	0	0	0	0	0	0
ENSMUSG00000094524	5	4	7	4	5	9
ENSMUSG00000094525	0	0	2	0	0	1
ENSMUSG00000094526	267	362	370	362	199	436
ENSMUSG00000094527	0	0	0	0	0	0
ENSMUSG00000094528	0	0	0	0	0	0
ENSMUSG00000094529	0	0	0	0	0	0
ENSMUSG00000094530	2	0	0	0	0	1
ENSMUSG00000094531	0	0	0	0	0	0
ENSMUSG00000094532	0	0	0	0	0	0
ENSMUSG00000094533	0	0	0	0	0	0
ENSMUSG00000094534	0	0	1	1	0	1
ENSMUSG00000094535	0	0	0	0	0	0
ENSMUSG00000094537	0	0	0	1	0	0
ENSMUSG00000094538	5	5	7	4	5	9
ENSMUSG00000094539	0	0	0	0	0	0
ENSMUSG00000094540	0	0	1	0	0	0
ENSMUSG00000094541	0	0	0	0	0	0
ENSMUSG00000094542	0	0	0	0	0	0
ENSMUSG00000094543	0	0	0	0	0	0
ENSMUSG00000094544	0	0	5	5	0	37
ENSMUSG00000094545	0	0	0	0	0	0
ENSMUSG00000094546	0	0	0	0	0	2
ENSMUSG00000094547	3	1	0	1	0	2
ENSMUSG00000094548	5	4	7	4	21	9
ENSMUSG00000094550	5	4	7	4	13	9
ENSMUSG00000094551	122	105	115	94	122	108
ENSMUSG00000094552	0	0	0	0	0	0
ENSMUSG00000094553	0	0	0	0	0	0
ENSMUSG00000094554	5	5	7	4	5	9
ENSMUSG00000094555	0	0	0	0	0	0
ENSMUSG00000094556	0	0	0	0	0	0
ENSMUSG00000094557	0	0	2	0	0	1
ENSMUSG00000094558	0	1	0	0	1	0
ENSMUSG00000094559	2	2	0	0	5	3
ENSMUSG00000094560	0	0	0	0	0	0
ENSMUSG00000094561	0	0	1	0	0	0
ENSMUSG00000094562	0	0	0	0	0	0
ENSMUSG00000094563	0	0	0	0	0	0
ENSMUSG00000094564	0	0	0	0	0	0
ENSMUSG00000094565	5	6	8	4	25	9
ENSMUSG00000094566	0	0	1	0	0	0
ENSMUSG00000094567	5	5	7	4	5	9
ENSMUSG00000094568	0	0	0	0	0	1
ENSMUSG00000094569	4	0	4	1	0	5
ENSMUSG00000094570	1	0	0	0	0	0
ENSMUSG00000094571	0	1	0	0	0	0
ENSMUSG00000094572	1	0	0	0	0	0
ENSMUSG00000094573	0	0	0	0	1	0
ENSMUSG00000094574	38	11	2	246	10	1
ENSMUSG00000094575	0	0	0	0	0	0
ENSMUSG00000094576	0	0	0	0	0	0
ENSMUSG00000094577	0	0	0	0	0	0
ENSMUSG00000094578	7	0	1	0	2	4
ENSMUSG00000094579	0	0	0	0	0	0
ENSMUSG00000094581	0	0	0	0	0	0
ENSMUSG00000094582	0	0	0	0	0	0
ENSMUSG00000094584	1	0	0	1	2	1
ENSMUSG00000094585	0	0	0	0	1	2
ENSMUSG00000094586	0	0	0	0	0	0
ENSMUSG00000094587	5	4	7	4	5	9
ENSMUSG00000094588	0	0	0	0	1	0
ENSMUSG00000094589	0	0	0	0	0	0
ENSMUSG00000094590	25	3	3	17	9	11
ENSMUSG00000094592	0	0	0	0	0	0
ENSMUSG00000094593	0	0	0	0	0	0
ENSMUSG00000094594	1	1	1	3	1	0
ENSMUSG00000094595	43	70	53	80	59	58
ENSMUSG00000094596	0	1	0	0	1	0
ENSMUSG00000094597	5	4	1	7	8	4
ENSMUSG00000094598	0	0	0	0	0	0
ENSMUSG00000094599	0	0	0	0	0	0
ENSMUSG00000094600	0	0	0	0	0	0
ENSMUSG00000094601	0	0	0	0	0	0
ENSMUSG00000094602	0	0	0	0	0	0
ENSMUSG00000094603	0	0	0	0	0	0
ENSMUSG00000094604	5	4	7	4	9	9
ENSMUSG00000094605	0	1	0	0	0	0
ENSMUSG00000094606	0	0	0	0	0	0
ENSMUSG00000094607	0	0	0	0	2	0
ENSMUSG00000094608	0	0	0	0	0	0
ENSMUSG00000094609	5	4	7	4	5	9
ENSMUSG00000094610	5	4	8	4	9	9
ENSMUSG00000094612	0	0	0	0	0	0
ENSMUSG00000094613	2	1	2	6	5	3
ENSMUSG00000094614	318	242	231	531	513	647
ENSMUSG00000094615	0	0	0	0	0	0
ENSMUSG00000094616	0	0	0	0	0	0
ENSMUSG00000094618	1	1	1	0	0	0
ENSMUSG00000094619	0	0	0	0	2	0
ENSMUSG00000094620	0	1	0	14	11	4
ENSMUSG00000094621	0	0	0	0	0	0
ENSMUSG00000094622	97	98	107	75	56	85
ENSMUSG00000094623	0	0	0	0	0	0
ENSMUSG00000094624	0	0	0	0	0	0
ENSMUSG00000094625	5	5	7	4	5	9
ENSMUSG00000094626	1611	1857	1805	1925	1928	1891
ENSMUSG00000094627	17	17	15	19	17	11
ENSMUSG00000094628	135	29	16	36	23	43
ENSMUSG00000094630	0	0	0	0	0	0
ENSMUSG00000094631	5	8	7	4	25	11
ENSMUSG00000094632	0	0	0	0	0	0
ENSMUSG00000094634	165	54	37	64	48	71
ENSMUSG00000094635	0	0	0	0	0	0
ENSMUSG00000094636	5	5	7	4	5	9
ENSMUSG00000094637	0	0	0	0	0	0
ENSMUSG00000094638	755	762	744	768	821	719
ENSMUSG00000094639	0	0	0	0	0	0
ENSMUSG00000094641	0	0	0	0	0	0
ENSMUSG00000094642	0	0	0	0	1	0
ENSMUSG00000094643	0	0	0	0	0	0
ENSMUSG00000094647	0	0	0	0	0	0
ENSMUSG00000094648	1	1	3	0	0	1
ENSMUSG00000094649	146	156	160	203	159	166
ENSMUSG00000094650	57	102	89	95	83	101
ENSMUSG00000094651	4	5	4	4	2	3
ENSMUSG00000094652	0	0	0	0	0	0
ENSMUSG00000094654	0	0	0	0	0	0
ENSMUSG00000094655	3	4	3	2	1	1
ENSMUSG00000094656	0	0	0	0	0	0
ENSMUSG00000094657	0	0	0	0	0	0
ENSMUSG00000094658	0	0	1	0	0	0
ENSMUSG00000094659	3	1	0	1	0	2
ENSMUSG00000094660	0	0	0	0	0	0
ENSMUSG00000094661	0	0	0	0	0	0
ENSMUSG00000094662	0	0	0	0	0	0
ENSMUSG00000094663	0	0	0	0	0	0
ENSMUSG00000094664	37	74	55	63	79	60
ENSMUSG00000094665	0	0	0	1	0	0
ENSMUSG00000094667	5	5	7	4	25	9
ENSMUSG00000094668	0	0	0	0	1	0
ENSMUSG00000094669	1	0	0	0	0	0
ENSMUSG00000094670	0	0	0	0	0	0
ENSMUSG00000094672	0	0	0	1	0	0
ENSMUSG00000094673	0	0	0	0	0	0
ENSMUSG00000094674	0	0	0	0	1	0
ENSMUSG00000094675	0	0	1	0	0	0
ENSMUSG00000094676	0	0	0	0	0	0
ENSMUSG00000094677	0	1	0	0	0	1
ENSMUSG00000094678	0	0	1	0	0	1
ENSMUSG00000094679	0	0	0	0	0	0
ENSMUSG00000094680	0	0	0	0	0	0
ENSMUSG00000094681	0	0	0	0	0	0
ENSMUSG00000094682	0	0	0	0	0	0
ENSMUSG00000094683	0	0	2	0	0	0
ENSMUSG00000094684	0	0	0	0	0	0
ENSMUSG00000094685	0	0	0	1	1	0
ENSMUSG00000094686	30	46	22	53	9	49
ENSMUSG00000094687	0	0	0	0	0	0
ENSMUSG00000094688	3	1	0	1	0	2
ENSMUSG00000094689	0	0	0	0	0	0
ENSMUSG00000094690	5	5	3	4	1	1
ENSMUSG00000094691	0	0	0	0	0	1
ENSMUSG00000094692	0	0	0	0	0	0
ENSMUSG00000094693	0	0	0	0	0	0
ENSMUSG00000094694	0	0	0	0	0	0
ENSMUSG00000094695	298	482	542	599	323	463
ENSMUSG00000094696	0	0	0	0	0	0
ENSMUSG00000094697	638	785	753	33	25	34
ENSMUSG00000094698	0	0	0	0	0	0
ENSMUSG00000094699	0	0	0	0	0	0
ENSMUSG00000094700	0	0	0	0	0	0
ENSMUSG00000094701	0	0	0	0	0	0
ENSMUSG00000094702	0	0	0	0	0	0
ENSMUSG00000094703	0	0	1	0	0	0
ENSMUSG00000094704	115	128	96	101	126	110
ENSMUSG00000094706	6	3	0	2	1	3
ENSMUSG00000094707	58	111	71	85	107	97
ENSMUSG00000094708	0	0	0	0	0	0
ENSMUSG00000094709	3	1	0	1	0	2
ENSMUSG00000094710	0	0	0	0	0	1
ENSMUSG00000094712	0	0	0	0	0	0
ENSMUSG00000094713	53	64	63	71	55	80
ENSMUSG00000094714	0	0	0	0	0	0
ENSMUSG00000094715	0	0	0	0	0	0
ENSMUSG00000094717	0	6	0	0	0	0
ENSMUSG00000094718	0	0	0	0	0	0
ENSMUSG00000094719	0	2	1	3	1	4
ENSMUSG00000094720	0	0	0	0	0	0
ENSMUSG00000094721	0	0	0	0	0	0
ENSMUSG00000094722	0	0	0	0	0	0
ENSMUSG00000094723	5	7	7	4	25	9
ENSMUSG00000094724	783	780	748	962	1403	893
ENSMUSG00000094725	0	0	0	0	0	0
ENSMUSG00000094726	0	0	0	0	0	0
ENSMUSG00000094727	0	0	1	0	0	0
ENSMUSG00000094728	0	0	0	0	0	0
ENSMUSG00000094729	0	0	0	0	0	1
ENSMUSG00000094730	0	0	0	0	0	0
ENSMUSG00000094732	14	20	32	19	10	20
ENSMUSG00000094733	0	0	0	0	0	0
ENSMUSG00000094734	0	0	0	0	0	0
ENSMUSG00000094735	0	0	0	0	0	0
ENSMUSG00000094736	5	3	4	0	0	4
ENSMUSG00000094737	4	2	0	1	0	2
ENSMUSG00000094738	0	0	0	0	0	0
ENSMUSG00000094739	0	0	1	0	0	0
ENSMUSG00000094740	0	0	0	0	0	0
ENSMUSG00000094741	0	0	0	0	0	0
ENSMUSG00000094743	0	0	0	0	0	0
ENSMUSG00000094745	0	0	0	0	0	0
ENSMUSG00000094746	1	1	0	0	0	0
ENSMUSG00000094747	0	0	0	0	0	0
ENSMUSG00000094748	0	0	0	0	0	0
ENSMUSG00000094749	0	0	0	0	0	0
ENSMUSG00000094750	0	0	0	0	0	0
ENSMUSG00000094751	0	0	0	0	0	0
ENSMUSG00000094752	4	3	4	4	7	7
ENSMUSG00000094753	5	4	7	4	5	9
ENSMUSG00000094754	1	0	0	0	0	0
ENSMUSG00000094755	0	0	0	0	0	0
ENSMUSG00000094757	0	0	0	0	0	0
ENSMUSG00000094758	0	0	0	0	2	0
ENSMUSG00000094759	0	0	0	0	0	0
ENSMUSG00000094760	0	0	0	0	0	0
ENSMUSG00000094762	0	0	0	0	0	0
ENSMUSG00000094763	2	6	3	5	3	2
ENSMUSG00000094764	0	0	0	0	0	0
ENSMUSG00000094765	5	4	7	4	5	9
ENSMUSG00000094766	0	0	0	0	0	0
ENSMUSG00000094767	0	0	0	0	0	0
ENSMUSG00000094768	0	0	0	0	0	0
ENSMUSG00000094769	0	0	0	0	0	0
ENSMUSG00000094770	0	0	0	0	0	0
ENSMUSG00000094771	0	0	0	0	0	0
ENSMUSG00000094772	7	5	12	6	9	10
ENSMUSG00000094773	0	0	0	0	0	0
ENSMUSG00000094774	3	1	0	1	0	2
ENSMUSG00000094775	0	0	0	0	0	0
ENSMUSG00000094777	23	28	20	34	32	34
ENSMUSG00000094778	0	0	0	0	0	0
ENSMUSG00000094779	0	0	0	0	0	0
ENSMUSG00000094780	30	33	30	40	33	52
ENSMUSG00000094782	0	0	0	0	0	0
ENSMUSG00000094784	0	1	10	0	0	0
ENSMUSG00000094785	0	1	1	0	0	0
ENSMUSG00000094786	149	138	210	420	238	391
ENSMUSG00000094787	0	0	0	0	0	0
ENSMUSG00000094789	0	0	0	0	0	0
ENSMUSG00000094790	0	0	0	0	0	0
ENSMUSG00000094791	0	0	0	0	0	0
ENSMUSG00000094792	0	0	0	0	0	0
ENSMUSG00000094793	4	7	1	5	4	4
ENSMUSG00000094794	0	0	0	0	0	0
ENSMUSG00000094796	0	0	0	0	0	0
ENSMUSG00000094797	0	0	0	0	0	0
ENSMUSG00000094798	0	0	0	0	0	0
ENSMUSG00000094799	0	0	0	0	0	0
ENSMUSG00000094800	35	49	40	147	175	116
ENSMUSG00000094801	0	0	0	0	0	0
ENSMUSG00000094802	0	0	0	1	0	0
ENSMUSG00000094803	0	0	0	0	0	0
ENSMUSG00000094804	0	0	0	0	1	0
ENSMUSG00000094805	0	0	0	0	1	0
ENSMUSG00000094806	2	2	0	0	5	3
ENSMUSG00000094807	22	10	16	11	10	15
ENSMUSG00000094808	0	0	0	0	0	0
ENSMUSG00000094809	4	0	0	0	6	6
ENSMUSG00000094810	0	0	0	0	0	0
ENSMUSG00000094811	9	0	1	0	2	0
ENSMUSG00000094812	0	1	0	0	0	0
ENSMUSG00000094813	0	0	0	0	0	0
ENSMUSG00000094814	59	45	23	32	114	33
ENSMUSG00000094815	3	3	7	6	3	2
ENSMUSG00000094817	491	678	771	1283	1309	1457
ENSMUSG00000094818	1	0	1	0	1	0
ENSMUSG00000094819	2	3	2	5	1	2
ENSMUSG00000094820	0	1	1	1	0	1
ENSMUSG00000094821	0	0	0	0	0	0
ENSMUSG00000094822	0	0	0	0	0	0
ENSMUSG00000094823	0	0	0	0	0	0
ENSMUSG00000094824	81	75	81	117	95	75
ENSMUSG00000094825	1206	296	210	279	335	252
ENSMUSG00000094826	11	17	8	6	9	9
ENSMUSG00000094827	0	0	0	0	0	0
ENSMUSG00000094828	2	7	6	7	12	11
ENSMUSG00000094829	0	0	0	0	0	0
ENSMUSG00000094830	0	0	0	0	0	0
ENSMUSG00000094831	0	0	0	0	0	0
ENSMUSG00000094832	22	32	32	34	51	17
ENSMUSG00000094833	0	0	0	0	0	0
ENSMUSG00000094834	0	0	0	0	0	0
ENSMUSG00000094836	0	0	0	0	0	0
ENSMUSG00000094837	0	0	0	0	0	0
ENSMUSG00000094838	0	0	0	0	0	0
ENSMUSG00000094840	160	194	212	196	161	182
ENSMUSG00000094841	1	0	2	2	0	1
ENSMUSG00000094842	7	7	7	15	6	9
ENSMUSG00000094843	25	65	28	25	23	14
ENSMUSG00000094844	0	0	0	0	0	0
ENSMUSG00000094845	0	1	1	7	1	0
ENSMUSG00000094846	0	0	0	0	0	0
ENSMUSG00000094847	5	4	7	4	5	9
ENSMUSG00000094848	0	0	0	0	0	0
ENSMUSG00000094849	1	0	0	2	0	3
ENSMUSG00000094850	0	0	0	0	0	0
ENSMUSG00000094852	0	0	0	0	0	0
ENSMUSG00000094854	0	0	0	0	0	0
ENSMUSG00000094855	0	0	0	0	0	0
ENSMUSG00000094856	0	0	0	0	0	0
ENSMUSG00000094858	0	0	0	0	0	0
ENSMUSG00000094860	0	1	0	0	1	0
ENSMUSG00000094861	0	0	0	0	0	1
ENSMUSG00000094862	0	0	0	0	0	0
ENSMUSG00000094864	0	0	0	0	0	0
ENSMUSG00000094865	0	0	0	0	0	0
ENSMUSG00000094866	0	0	0	1	0	0
ENSMUSG00000094867	0	0	0	0	0	0
ENSMUSG00000094868	16	22	22	27	40	25
ENSMUSG00000094869	0	0	0	0	0	0
ENSMUSG00000094870	898	1026	1024	1036	882	1103
ENSMUSG00000094872	0	0	0	0	0	0
ENSMUSG00000094873	0	0	2	0	2	0
ENSMUSG00000094874	0	0	0	0	0	0
ENSMUSG00000094875	0	0	0	0	0	0
ENSMUSG00000094876	0	1	0	0	1	0
ENSMUSG00000094877	0	0	1	0	0	0
ENSMUSG00000094878	0	0	0	0	0	0
ENSMUSG00000094879	0	0	0	0	0	0
ENSMUSG00000094880	26	6	8	21	5	13
ENSMUSG00000094881	0	0	0	0	0	0
ENSMUSG00000094883	5	8	7	5	25	9
ENSMUSG00000094884	0	0	0	0	0	0
ENSMUSG00000094885	0	6	0	0	0	0
ENSMUSG00000094886	0	0	0	0	0	0
ENSMUSG00000094887	0	0	0	0	0	0
ENSMUSG00000094888	5	4	7	4	17	9
ENSMUSG00000094889	7	7	5	7	16	6
ENSMUSG00000094890	8	3	7	31	22	17
ENSMUSG00000094891	4	6	3	6	1	2
ENSMUSG00000094892	0	0	0	0	0	0
ENSMUSG00000094893	1	1	0	1	2	1
ENSMUSG00000094894	0	0	0	0	0	0
ENSMUSG00000094895	0	0	0	0	0	0
ENSMUSG00000094896	3	2	2	12	4	12
ENSMUSG00000094897	0	0	0	1	0	0
ENSMUSG00000094898	0	0	0	0	0	0
ENSMUSG00000094899	3	1	0	1	0	2
ENSMUSG00000094900	3	4	0	5	0	6
ENSMUSG00000094901	0	0	0	0	0	0
ENSMUSG00000094902	0	0	0	0	0	0
ENSMUSG00000094903	5	5	7	4	5	9
ENSMUSG00000094904	1	0	0	2	0	1
ENSMUSG00000094905	0	0	0	0	0	0
ENSMUSG00000094906	65	55	61	64	21	83
ENSMUSG00000094910	4798	3070	3437	4030	7139	3023
ENSMUSG00000094911	0	0	0	0	0	0
ENSMUSG00000094912	5	4	7	4	5	9
ENSMUSG00000094913	0	0	0	0	1	0
ENSMUSG00000094914	0	0	1	1	0	0
ENSMUSG00000094915	0	0	0	0	0	0
ENSMUSG00000094916	0	0	0	0	0	0
ENSMUSG00000094917	5	4	7	4	5	9
ENSMUSG00000094918	0	0	0	1	0	0
ENSMUSG00000094919	5	4	7	4	21	9
ENSMUSG00000094920	1	0	0	0	0	0
ENSMUSG00000094921	3	0	0	10	2	14
ENSMUSG00000094922	5	4	7	4	5	9
ENSMUSG00000094923	0	0	0	0	0	0
ENSMUSG00000094925	0	0	4	4	0	3
ENSMUSG00000094926	0	0	0	0	1	0
ENSMUSG00000094927	3	1	0	1	0	2
ENSMUSG00000094928	0	0	0	0	0	2
ENSMUSG00000094929	26	3	2	1	2	2
ENSMUSG00000094930	0	0	0	0	0	0
ENSMUSG00000094931	0	0	0	0	0	0
ENSMUSG00000094932	1758	1629	1810	2530	1817	2479
ENSMUSG00000094933	0	0	0	0	0	0
ENSMUSG00000094934	0	0	0	0	0	0
ENSMUSG00000094935	0	0	0	0	0	0
ENSMUSG00000094936	588	687	698	728	646	777
ENSMUSG00000094937	0	0	0	0	0	0
ENSMUSG00000094938	0	0	1	0	1	0
ENSMUSG00000094939	0	0	0	0	0	0
ENSMUSG00000094940	0	0	0	0	0	0
ENSMUSG00000094941	0	3	0	0	0	0
ENSMUSG00000094942	33	53	31	59	27	51
ENSMUSG00000094943	3	1	0	1	0	2
ENSMUSG00000094944	0	0	0	0	0	0
ENSMUSG00000094945	0	0	0	0	0	0
ENSMUSG00000094946	0	0	0	0	0	0
ENSMUSG00000094947	0	0	0	0	0	0
ENSMUSG00000094948	0	0	0	0	0	0
ENSMUSG00000094949	0	0	0	0	0	0
ENSMUSG00000094950	0	0	0	0	0	0
ENSMUSG00000094951	0	0	0	0	0	0
ENSMUSG00000094952	12	12	10	11	12	8
ENSMUSG00000094954	0	0	1	4	0	3
ENSMUSG00000094955	2	0	0	2	1	0
ENSMUSG00000094956	0	0	0	0	0	0
ENSMUSG00000094957	0	0	0	0	0	0
ENSMUSG00000094958	155	160	171	290	100	253
ENSMUSG00000094959	2	1	2	5	2	3
ENSMUSG00000094960	1	0	0	0	0	0
ENSMUSG00000094962	2800	2803	3277	3355	3027	3485
ENSMUSG00000094963	0	0	0	0	0	0
ENSMUSG00000094964	0	0	0	0	0	0
ENSMUSG00000094965	5	5	5	8	12	5
ENSMUSG00000094966	0	0	1	0	1	0
ENSMUSG00000094967	0	0	0	0	0	0
ENSMUSG00000094968	0	0	0	0	0	0
ENSMUSG00000094969	60	57	58	78	74	81
ENSMUSG00000094970	0	0	0	0	0	0
ENSMUSG00000094971	0	0	0	0	0	0
ENSMUSG00000094972	0	0	0	0	0	0
ENSMUSG00000094973	0	0	1	0	0	0
ENSMUSG00000094974	1	2	2	2	3	2
ENSMUSG00000094975	0	0	0	0	0	0
ENSMUSG00000094976	0	0	0	0	0	0
ENSMUSG00000094977	0	0	0	0	0	0
ENSMUSG00000094978	0	0	0	0	0	0
ENSMUSG00000094979	0	0	0	1	0	0
ENSMUSG00000094980	0	0	0	0	0	0
ENSMUSG00000094981	0	0	0	0	0	0
ENSMUSG00000094982	86	60	57	88	103	83
ENSMUSG00000094983	0	0	1	1	0	4
ENSMUSG00000094985	1	2	1	1	4	0
ENSMUSG00000094986	0	0	0	0	0	0
ENSMUSG00000094987	0	0	0	0	0	0
ENSMUSG00000094988	0	0	0	0	0	0
ENSMUSG00000094989	3	0	2	2	1	3
ENSMUSG00000094991	0	0	0	0	0	0
ENSMUSG00000094992	0	3	0	1	1	0
ENSMUSG00000094993	0	0	0	0	0	0
ENSMUSG00000094994	0	0	0	0	0	0
ENSMUSG00000094995	1	2	2	2	3	4
ENSMUSG00000094996	25	17	29	44	27	31
ENSMUSG00000094997	0	0	0	0	0	0
ENSMUSG00000094998	5	4	7	4	5	9
ENSMUSG00000094999	0	0	0	6	6	0
ENSMUSG00000095000	0	0	0	0	0	0
ENSMUSG00000095002	0	0	0	0	0	0
ENSMUSG00000095003	0	0	0	0	0	0
ENSMUSG00000095004	3	1	0	1	0	2
ENSMUSG00000095005	0	0	1	4	4	0
ENSMUSG00000095006	0	0	0	0	0	0
ENSMUSG00000095007	0	1	1	0	0	0
ENSMUSG00000095008	0	0	1	0	0	0
ENSMUSG00000095009	5	4	7	4	5	10
ENSMUSG00000095010	26	27	12	21	30	18
ENSMUSG00000095011	0	0	0	0	0	0
ENSMUSG00000095012	0	0	0	0	0	2
ENSMUSG00000095015	7	1	2	0	2	0
ENSMUSG00000095016	10	17	10	18	22	13
ENSMUSG00000095017	0	0	0	0	0	0
ENSMUSG00000095019	0	0	0	0	0	0
ENSMUSG00000095020	0	1	0	2	0	0
ENSMUSG00000095021	5	4	7	4	5	9
ENSMUSG00000095022	1	0	0	0	0	1
ENSMUSG00000095023	0	0	0	0	0	0
ENSMUSG00000095024	250	57	40	58	69	33
ENSMUSG00000095025	0	0	0	0	0	0
ENSMUSG00000095026	2	1	1	0	2	1
ENSMUSG00000095027	0	0	0	0	0	0
ENSMUSG00000095028	3	6	6	4	2	3
ENSMUSG00000095029	2	0	0	0	0	0
ENSMUSG00000095030	0	0	0	0	0	0
ENSMUSG00000095031	5	6	7	4	25	9
ENSMUSG00000095032	0	0	0	0	0	0
ENSMUSG00000095033	0	0	0	0	0	0
ENSMUSG00000095034	0	0	0	4	4	0
ENSMUSG00000095035	0	0	0	0	0	0
ENSMUSG00000095036	3	1	0	1	0	2
ENSMUSG00000095037	0	0	0	0	0	0
ENSMUSG00000095040	3	4	7	9	7	8
ENSMUSG00000095041	0	0	0	0	0	0
ENSMUSG00000095042	67	84	65	74	58	68
ENSMUSG00000095044	0	0	1	0	0	0
ENSMUSG00000095045	0	1	0	0	0	0
ENSMUSG00000095047	0	0	0	0	0	0
ENSMUSG00000095048	0	0	0	0	0	0
ENSMUSG00000095049	0	0	0	0	0	0
ENSMUSG00000095051	3	1	0	1	0	2
ENSMUSG00000095052	0	0	0	0	0	0
ENSMUSG00000095053	0	0	0	0	0	0
ENSMUSG00000095054	6	2	4	3	0	2
ENSMUSG00000095056	4	0	2	0	0	0
ENSMUSG00000095057	0	0	0	0	0	0
ENSMUSG00000095059	0	0	0	0	0	0
ENSMUSG00000095060	0	0	0	0	0	0
ENSMUSG00000095061	41	61	61	67	35	69
ENSMUSG00000095063	0	0	0	0	0	0
ENSMUSG00000095064	0	0	0	0	0	0
ENSMUSG00000095065	0	0	0	0	0	0
ENSMUSG00000095066	1	0	1	0	0	0
ENSMUSG00000095068	15	17	17	16	24	20
ENSMUSG00000095069	0	0	0	0	0	0
ENSMUSG00000095070	0	0	0	0	0	0
ENSMUSG00000095071	0	0	0	0	0	0
ENSMUSG00000095072	0	0	0	0	0	0
