HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N0.HOG0000794	OG0000751	n0	KBS0714_00823	SA211_00555	AS2_02107	KD33716_01998
N0.HOG0000795	OG0000752	n0	KBS0714_00825	SA211_00557	AS2_02097	KD33716_01996
N0.HOG0000796	OG0000753	n0	KBS0714_00827	SA211_00559	AS2_02095	KD33716_01994
N0.HOG0000797	OG0000754	n0	KBS0714_00828	SA211_00560	AS2_02094	KD33716_01993
N0.HOG0000798	OG0000755	n0	KBS0714_00830	SA211_00562	AS2_02131	KD33716_02024
N0.HOG0000799	OG0000756	n0	KBS0714_00831	SA211_00563	AS2_02093	KD33716_01992
N0.HOG0000800	OG0000757	n0	KBS0714_00832	SA211_00564	AS2_02092	KD33716_01991
N0.HOG0000801	OG0000758	n0	KBS0714_00833	SA211_00565	AS2_02091	KD33716_01990
N0.HOG0000802	OG0000759	n0	KBS0714_00834	SA211_00566	AS2_02090	KD33716_01989
N0.HOG0000803	OG0000760	n0	KBS0714_00847	SA211_00569	AS2_02088	KD33716_01988
N0.HOG0000804	OG0000761	n0	KBS0714_00848	SA211_00570	AS2_02087	KD33716_01987
N0.HOG0000805	OG0000762	n0	KBS0714_00849	SA211_00571	AS2_02086	KD33716_01986
N0.HOG0000806	OG0000763	n0	KBS0714_00850	SA211_00572	AS2_02085	KD33716_01985
N0.HOG0000807	OG0000764	n0	KBS0714_00851	SA211_00573	AS2_02084	KD33716_01984
N0.HOG0000808	OG0000765	n0	KBS0714_00852	SA211_00574	AS2_02082	KD33716_01977
N0.HOG0000809	OG0000766	n0	KBS0714_00853	SA211_00575	AS2_02081	KD33716_01976
N0.HOG0000810	OG0000767	n0	KBS0714_00859	SA211_00581	AS2_02076	KD33716_01970
N0.HOG0000811	OG0000768	n0	KBS0714_00860	SA211_00582	AS2_02075	KD33716_01969
N0.HOG0000812	OG0000769	n0	KBS0714_00861	SA211_00583	AS2_02074	KD33716_01968
N0.HOG0000813	OG0000770	n0	KBS0714_00862	SA211_00584	AS2_02073	KD33716_01967
N0.HOG0000814	OG0000771	n0	KBS0714_00863	SA211_00585	AS2_02072	KD33716_01966
N0.HOG0000815	OG0000772	n0	KBS0714_00864	SA211_00586	AS2_02071	KD33716_01965
N0.HOG0000816	OG0000773	n0	KBS0714_00865	SA211_00587	AS2_02070	KD33716_01964
N0.HOG0000817	OG0000774	n0	KBS0714_00866	SA211_00588	AS2_02069	KD33716_01963
N0.HOG0000818	OG0000775	n0	KBS0714_00867	SA211_00589	AS2_02068	KD33716_01962
N0.HOG0000819	OG0000776	n0	KBS0714_00868	SA211_00590	AS2_02067	KD33716_01961
N0.HOG0000820	OG0000777	n0	KBS0714_00869	SA211_00591	AS2_02066	KD33716_01960
N0.HOG0000821	OG0000778	n0	KBS0714_00870	SA211_00592	AS2_02065	KD33716_01959
N0.HOG0000822	OG0000779	n0	KBS0714_00871	SA211_00593	AS2_02064	KD33716_01958
N0.HOG0000823	OG0000780	n0	KBS0714_00872	SA211_00594	AS2_02063	KD33716_01957
N0.HOG0000824	OG0000781	n0	KBS0714_00873	SA211_00595	AS2_02062	KD33716_01956
N0.HOG0000825	OG0000782	n0	KBS0714_00874	SA211_00596	AS2_02061	KD33716_01955
N0.HOG0000826	OG0000783	n0	KBS0714_00875	SA211_00597	AS2_02060	KD33716_01954
N0.HOG0000827	OG0000784	n0	KBS0714_00876	SA211_00598	AS2_02059	KD33716_01953
N0.HOG0000828	OG0000785	n0	KBS0714_00877	SA211_00599	AS2_02058	KD33716_01952
N0.HOG0000829	OG0000786	n0	KBS0714_00878	SA211_00600	AS2_02057	KD33716_01951
N0.HOG0000830	OG0000787	n0	KBS0714_00879	SA211_00601	AS2_02056	KD33716_01950
N0.HOG0000831	OG0000788	n0	KBS0714_00880	SA211_00602	AS2_02055	KD33716_01949
N0.HOG0000832	OG0000789	n0	KBS0714_00881	SA211_00603	AS2_02054	KD33716_01948
N0.HOG0000833	OG0000790	n0	KBS0714_00882	SA211_00604	AS2_02053	KD33716_01947
N0.HOG0000834	OG0000791	n0	KBS0714_00885	SA211_00607	AS2_02051	KD33716_01945
N0.HOG0000835	OG0000792	n0	KBS0714_00895	SA211_00617	AS2_02042	KD33716_01940
N0.HOG0000836	OG0000793	n0	KBS0714_00896	SA211_00618	AS2_02043	KD33716_01941
N0.HOG0000837	OG0000794	n0	KBS0714_00897	SA211_00619	AS2_02044	KD33716_01942
N0.HOG0000838	OG0000795	n0	KBS0714_00900	SA211_00620	AS2_02041	KD33716_01939
N0.HOG0000839	OG0000796	n0	KBS0714_00902	SA211_00621	AS2_02040	KD33716_01938
N0.HOG0000840	OG0000797	n0	KBS0714_00903	SA211_00622	AS2_02039	KD33716_01937
N0.HOG0000841	OG0000798	n0	KBS0714_00904	SA211_00623	AS2_02038	KD33716_01936
N0.HOG0000842	OG0000799	n0	KBS0714_00905	SA211_00624	AS2_02037	KD33716_01935
N0.HOG0000843	OG0000800	n0	KBS0714_00906	SA211_00625	AS2_02036	KD33716_01934
N0.HOG0000844	OG0000801	n0	KBS0714_00907	SA211_00626	AS2_02035	KD33716_01933
N0.HOG0000845	OG0000802	n0	KBS0714_00908	SA211_00627	AS2_02034	KD33716_01932
N0.HOG0000846	OG0000803	n0	KBS0714_00909	SA211_00628	AS2_02033	KD33716_01931
N0.HOG0000847	OG0000804	n0	KBS0714_00910	SA211_00629	AS2_02032	KD33716_01930
N0.HOG0000848	OG0000805	n0	KBS0714_00911	SA211_00630	AS2_02031	KD33716_01929
N0.HOG0000849	OG0000806	n0	KBS0714_00912	SA211_00631	AS2_02030	KD33716_01928
N0.HOG0000850	OG0000807	n0	KBS0714_00913	SA211_00632	AS2_02029	KD33716_01927
N0.HOG0000851	OG0000808	n0	KBS0714_00914	SA211_00633	AS2_02028	KD33716_01926
N0.HOG0000852	OG0000809	n0	KBS0714_00915	SA211_00634	AS2_02027	KD33716_01925
N0.HOG0000853	OG0000810	n0	KBS0714_00916	SA211_00635	AS2_02026	KD33716_01924
N0.HOG0000854	OG0000811	n0	KBS0714_00917	SA211_00636	AS2_02024	KD33716_01923
N0.HOG0000855	OG0000812	n0	KBS0714_00918	SA211_00637	AS2_02023	KD33716_01922
N0.HOG0000856	OG0000813	n0	KBS0714_00919	SA211_00638	AS2_02022	KD33716_01921
N0.HOG0000857	OG0000814	n0	KBS0714_00920	SA211_00639	AS2_02021	KD33716_01920
N0.HOG0000858	OG0000815	n0	KBS0714_00921	SA211_00640	AS2_02020	KD33716_01919
N0.HOG0000859	OG0000816	n0	KBS0714_00922	SA211_00641	AS2_02019	KD33716_01918
N0.HOG0000860	OG0000817	n0	KBS0714_00923	SA211_00642	AS2_02018	KD33716_01917
N0.HOG0000861	OG0000818	n0	KBS0714_00924	SA211_00643	AS2_02017	KD33716_01916
N0.HOG0000862	OG0000819	n0	KBS0714_00925	SA211_00644	AS2_02016	KD33716_01915
N0.HOG0000863	OG0000820	n0	KBS0714_00926	SA211_00645	AS2_02015	KD33716_01914
N0.HOG0000864	OG0000821	n0	KBS0714_00928	SA211_00647	AS2_02012	KD33716_01911
N0.HOG0000865	OG0000822	n0	KBS0714_00929	SA211_00648	AS2_02011	KD33716_01910
N0.HOG0000866	OG0000823	n0	KBS0714_00930	SA211_00649	AS2_02010	KD33716_01908
N0.HOG0000867	OG0000824	n0	KBS0714_00931	SA211_00650	AS2_02009	KD33716_01907
N0.HOG0000868	OG0000825	n0	KBS0714_00932	SA211_00651	AS2_02008	KD33716_01904
N0.HOG0000869	OG0000826	n0	KBS0714_00933	SA211_00652	AS2_02007	KD33716_01903
N0.HOG0000870	OG0000827	n0	KBS0714_00934	SA211_00653	AS2_02005	KD33716_01902
N0.HOG0000871	OG0000828	n0	KBS0714_00935	SA211_00654	AS2_02004	KD33716_01901
N0.HOG0000872	OG0000829	n0	KBS0714_00936	SA211_00655	AS2_02003	KD33716_01900
N0.HOG0000873	OG0000830	n0	KBS0714_00937	SA211_00656	AS2_02002	KD33716_01899
N0.HOG0000874	OG0000831	n0	KBS0714_00938	SA211_00657	AS2_02001	KD33716_01898
N0.HOG0000875	OG0000832	n0	KBS0714_00939	SA211_00658	AS2_02000	KD33716_01897
N0.HOG0000876	OG0000833	n0	KBS0714_00940	SA211_00659	AS2_01999	KD33716_01896
N0.HOG0000877	OG0000834	n0	KBS0714_00941	SA211_00660	AS2_01997	KD33716_01895
N0.HOG0000878	OG0000835	n0	KBS0714_00942	SA211_00661	AS2_01996	KD33716_01894
N0.HOG0000879	OG0000836	n0	KBS0714_00943	SA211_00662	AS2_01995	KD33716_01892
N0.HOG0000880	OG0000837	n0	KBS0714_00946	SA211_01109, SA211_00665	AS2_01991	
N0.HOG0000881	OG0000838	n0	KBS0714_00947	SA211_00666	AS2_01990	KD33716_01891
N0.HOG0000882	OG0000839	n0	KBS0714_00956	SA211_00669	AS2_01931	KD33716_01883
N0.HOG0000883	OG0000840	n0	KBS0714_00957	SA211_00670	AS2_01930	KD33716_01882
N0.HOG0000884	OG0000841	n0	KBS0714_00959	SA211_00672	AS2_01929	KD33716_01880
N0.HOG0000885	OG0000842	n0	KBS0714_00960	SA211_00673	AS2_01928	KD33716_01879
N0.HOG0000886	OG0000843	n0	KBS0714_00962	SA211_00675	AS2_01926	KD33716_01877
N0.HOG0000887	OG0000844	n0	KBS0714_00963	SA211_00676	AS2_01925	KD33716_01876
N0.HOG0000888	OG0000845	n0	KBS0714_00964	SA211_00677	AS2_01923	KD33716_01872
N0.HOG0000889	OG0000846	n0	KBS0714_00966	SA211_00679	AS2_01921	KD33716_01869
N0.HOG0000890	OG0000847	n0	KBS0714_00967	SA211_00680	AS2_01920	KD33716_01868
N0.HOG0000891	OG0000848	n0	KBS0714_00972	SA211_00685	AS2_01918	KD33716_01866
N0.HOG0000892	OG0000849	n0	KBS0714_00974	SA211_00688	AS2_01916	KD33716_01863
N0.HOG0000893	OG0000850	n0	KBS0714_00976	SA211_00690	AS2_01914	KD33716_01861
N0.HOG0000894	OG0000851	n0	KBS0714_00977	SA211_00691	AS2_01913	KD33716_01860
N0.HOG0000895	OG0000852	n0	KBS0714_00978	SA211_00692	AS2_01912	KD33716_01859
N0.HOG0000896	OG0000853	n0	KBS0714_00979	SA211_00693	AS2_01911	KD33716_01858
N0.HOG0000897	OG0000854	n0	KBS0714_00980	SA211_00694	AS2_01910	KD33716_01857
N0.HOG0000898	OG0000855	n0	KBS0714_00981	SA211_00695	AS2_01908	KD33716_01856
N0.HOG0000899	OG0000856	n0	KBS0714_00982	SA211_00696	AS2_01907	KD33716_01854
N0.HOG0000900	OG0000857	n0	KBS0714_00983	SA211_00697	AS2_01906	KD33716_01853
N0.HOG0000901	OG0000858	n0	KBS0714_00984	SA211_00698	AS2_01905	KD33716_01852
N0.HOG0000902	OG0000859	n0	KBS0714_00985	SA211_00699	AS2_01904	KD33716_01851
N0.HOG0000903	OG0000860	n0	KBS0714_00986	SA211_00700	AS2_01903	KD33716_01850
N0.HOG0000904	OG0000861	n0	KBS0714_00987	SA211_00701	AS2_01902	KD33716_01849
N0.HOG0000905	OG0000862	n0	KBS0714_00988	SA211_00702	AS2_01901	KD33716_01848
N0.HOG0000906	OG0000863	n0	KBS0714_00989	SA211_00703	AS2_01900	KD33716_01847
N0.HOG0000907	OG0000864	n0	KBS0714_00990	SA211_00704	AS2_01899	KD33716_01846
N0.HOG0000908	OG0000865	n0	KBS0714_00991	SA211_00705	AS2_01898	KD33716_01845
N0.HOG0000909	OG0000866	n0	KBS0714_00994	SA211_00708	AS2_01895	KD33716_01842
N0.HOG0000910	OG0000867	n0	KBS0714_00995	SA211_00709	AS2_01894	KD33716_01841
N0.HOG0000911	OG0000868	n0	KBS0714_00997	SA211_00711	AS2_01893	KD33716_01839
N0.HOG0000912	OG0000869	n0	KBS0714_00998	SA211_00712	AS2_01892	KD33716_01838
N0.HOG0000913	OG0000870	n0	KBS0714_00999	SA211_00713	AS2_01891	KD33716_01819
N0.HOG0000914	OG0000871	n0	KBS0714_01000	SA211_00714	AS2_01890	KD33716_01818
N0.HOG0000915	OG0000872	n0	KBS0714_01001	SA211_00715	AS2_01889	KD33716_01817
N0.HOG0000916	OG0000873	n0	KBS0714_01002	SA211_00716	AS2_01888	KD33716_01816
N0.HOG0000917	OG0000874	n0	KBS0714_01003	SA211_00717	AS2_01887	KD33716_01815
N0.HOG0000918	OG0000875	n0	KBS0714_01004	SA211_00718	AS2_01886	KD33716_01814
N0.HOG0000919	OG0000876	n0	KBS0714_01005	SA211_00719	AS2_01885	KD33716_01813
N0.HOG0000920	OG0000877	n0	KBS0714_01006	SA211_00720	AS2_01884	KD33716_01812
N0.HOG0000921	OG0000878	n0	KBS0714_01007	SA211_00721	AS2_01883	KD33716_01810
N0.HOG0000922	OG0000879	n0	KBS0714_01008	SA211_00722	AS2_01882	KD33716_01809
N0.HOG0000923	OG0000880	n0	KBS0714_01014	SA211_00728	AS2_01874	KD33716_01230
N0.HOG0000924	OG0000881	n0	KBS0714_01017	SA211_00731	AS2_01870	KD33716_00705
N0.HOG0000925	OG0000882	n0	KBS0714_01018	SA211_00732	AS2_01869	KD33716_01761
N0.HOG0000926	OG0000883	n0	KBS0714_01019	SA211_00733	AS2_01868	KD33716_01760
N0.HOG0000927	OG0000884	n0	KBS0714_01020	SA211_00734	AS2_01867	KD33716_01763
N0.HOG0000928	OG0000885	n0	KBS0714_01021	SA211_00735	AS2_01866	KD33716_01762
N0.HOG0000929	OG0000886	n0	KBS0714_01022	SA211_00736, SA211_00737	AS2_00782	
N0.HOG0000930	OG0000887	n0	KBS0714_01023	SA211_00738	AS2_01865	KD33716_01758
N0.HOG0000931	OG0000888	n0	KBS0714_01024	SA211_00739	AS2_01861	KD33716_01751
N0.HOG0000932	OG0000889	n0	KBS0714_01025	SA211_00740	AS2_01860	KD33716_01750
N0.HOG0000933	OG0000890	n0	KBS0714_01026	SA211_00741	AS2_01859	KD33716_01749
N0.HOG0000934	OG0000891	n0	KBS0714_01027	SA211_00742	AS2_01858	KD33716_01745
N0.HOG0000935	OG0000892	n0	KBS0714_01031	SA211_00746	AS2_01851	KD33716_01741
N0.HOG0000936	OG0000893	n0	KBS0714_01032	SA211_00747	AS2_01850	KD33716_01740
N0.HOG0000937	OG0000894	n0	KBS0714_01035	SA211_00748	AS2_01849	KD33716_01739
N0.HOG0000938	OG0000895	n0	KBS0714_01036	SA211_00749	AS2_01848	KD33716_01738
N0.HOG0000939	OG0000896	n0	KBS0714_01037	SA211_00750	AS2_01847	KD33716_01737
N0.HOG0000940	OG0000897	n0	KBS0714_01039	SA211_00752	AS2_01846	KD33716_01736
N0.HOG0000941	OG0000898	n0	KBS0714_01043	SA211_00756	AS2_00543	KD33716_01734
N0.HOG0000942	OG0000899	n0	KBS0714_01044	SA211_00757	AS2_01845	KD33716_01732
N0.HOG0000943	OG0000900	n0	KBS0714_01045	SA211_00758	AS2_01844	KD33716_01731
N0.HOG0000944	OG0000901	n0	KBS0714_01046	SA211_00759	AS2_01842	KD33716_01730
N0.HOG0000945	OG0000902	n0	KBS0714_01047	SA211_00760	AS2_01841	KD33716_01729
N0.HOG0000946	OG0000903	n0	KBS0714_01048	SA211_00761	AS2_01840	KD33716_01728
N0.HOG0000947	OG0000904	n0	KBS0714_01049	SA211_00762	AS2_01837	KD33716_01727
N0.HOG0000948	OG0000905	n0	KBS0714_01050	SA211_00763	AS2_01836	KD33716_01726
N0.HOG0000949	OG0000906	n0	KBS0714_01051	SA211_00764	AS2_01835	KD33716_01725
N0.HOG0000950	OG0000907	n0	KBS0714_01052	SA211_00765	AS2_01834	KD33716_01724
N0.HOG0000951	OG0000908	n0	KBS0714_01057	SA211_00776	AS2_01829	KD33716_01719
N0.HOG0000952	OG0000909	n0	KBS0714_01058	SA211_00777	AS2_01828	KD33716_01718
N0.HOG0000953	OG0000910	n0	KBS0714_01059	SA211_00778	AS2_01827	KD33716_01717
N0.HOG0000954	OG0000911	n0	KBS0714_01060	SA211_00779	AS2_01826	KD33716_01716
N0.HOG0000955	OG0000912	n0	KBS0714_01061	SA211_00780	AS2_01825	KD33716_01715
N0.HOG0000956	OG0000913	n0	KBS0714_01062	SA211_00781	AS2_01824	KD33716_01714
N0.HOG0000957	OG0000914	n0	KBS0714_01063	SA211_00782	AS2_01823	KD33716_01713
N0.HOG0000958	OG0000915	n0	KBS0714_01066	SA211_00785	AS2_01821	KD33716_01710
N0.HOG0000959	OG0000916	n0	KBS0714_01078	SA211_00797	AS2_01820	KD33716_01707
N0.HOG0000960	OG0000917	n0	KBS0714_01079	SA211_00798	AS2_01819	KD33716_01706
N0.HOG0000961	OG0000918	n0	KBS0714_01080	SA211_00799	AS2_01818	KD33716_01705
N0.HOG0000962	OG0000919	n0	KBS0714_01081	SA211_00800	AS2_01816	KD33716_01704
N0.HOG0000963	OG0000920	n0	KBS0714_01082	SA211_00801	AS2_01815	KD33716_01703
N0.HOG0000964	OG0000921	n0	KBS0714_01083	SA211_00802	AS2_01814	KD33716_01702
N0.HOG0000965	OG0000922	n0	KBS0714_01084	SA211_00803	AS2_01813	KD33716_01701
N0.HOG0000966	OG0000923	n0	KBS0714_01085	SA211_00804	AS2_01812	KD33716_01700
N0.HOG0000967	OG0000924	n0	KBS0714_01086	SA211_00805	AS2_01811	KD33716_01699
N0.HOG0000968	OG0000925	n0	KBS0714_01087	SA211_00806	AS2_01810	KD33716_01698
N0.HOG0000969	OG0000926	n0	KBS0714_01088	SA211_00807	AS2_01808	KD33716_01697
N0.HOG0000970	OG0000927	n0	KBS0714_01089	SA211_00808	AS2_01807	KD33716_01696
N0.HOG0000971	OG0000928	n0	KBS0714_01090	SA211_00809	AS2_01806	KD33716_01695
N0.HOG0000972	OG0000929	n0	KBS0714_01091	SA211_00810	AS2_01805	KD33716_01694
N0.HOG0000973	OG0000930	n0	KBS0714_01092	SA211_00811	AS2_01804	KD33716_01693
N0.HOG0000974	OG0000931	n0	KBS0714_01094	SA211_00813	AS2_01801	KD33716_01691
N0.HOG0000975	OG0000932	n0	KBS0714_01095	SA211_00814	AS2_01800	KD33716_01690
N0.HOG0000976	OG0000933	n0	KBS0714_01096	SA211_00815	AS2_01799	KD33716_01689
N0.HOG0000977	OG0000934	n0	KBS0714_01097	SA211_00816	AS2_01798	KD33716_01688
N0.HOG0000978	OG0000935	n0	KBS0714_01098	SA211_00817	AS2_01797	KD33716_01687
N0.HOG0000979	OG0000936	n0	KBS0714_01099	SA211_00818	AS2_01796	KD33716_01686
N0.HOG0000980	OG0000937	n0	KBS0714_01100	SA211_00819	AS2_01795	KD33716_01685
N0.HOG0000981	OG0000938	n0	KBS0714_01101	SA211_00820	AS2_01794	KD33716_01684
N0.HOG0000982	OG0000939	n0	KBS0714_01103	SA211_00822	AS2_01791	KD33716_01682
N0.HOG0000983	OG0000940	n0	KBS0714_01104	SA211_00823	AS2_01790	KD33716_01681
N0.HOG0000984	OG0000941	n0	KBS0714_01105	SA211_00824	AS2_01789	KD33716_01680
N0.HOG0000985	OG0000942	n0	KBS0714_01107	SA211_00826	AS2_01786	KD33716_01678
N0.HOG0000986	OG0000943	n0	KBS0714_01108	SA211_00827	AS2_01785	KD33716_01677
N0.HOG0000987	OG0000944	n0	KBS0714_01109	SA211_00828	AS2_01783	KD33716_01676
N0.HOG0000988	OG0000945	n0	KBS0714_01110	SA211_00829	AS2_01782	KD33716_01675
N0.HOG0000989	OG0000946	n0	KBS0714_01113	SA211_00832	AS2_01780	KD33716_01673
N0.HOG0000990	OG0000947	n0	KBS0714_01114	SA211_00833	AS2_01779	KD33716_01672
N0.HOG0000991	OG0000948	n0	KBS0714_01115	SA211_00834	AS2_01778	KD33716_01671
N0.HOG0000992	OG0000949	n0	KBS0714_01116	SA211_00835	AS2_01777	KD33716_01670
N0.HOG0000993	OG0000950	n0	KBS0714_01119	SA211_00838	AS2_01774	KD33716_01667
N0.HOG0000994	OG0000951	n0	KBS0714_01120	SA211_00839	AS2_01773	KD33716_01666
N0.HOG0000995	OG0000952	n0	KBS0714_01121	SA211_00840	AS2_01772	KD33716_01665
N0.HOG0000996	OG0000953	n0	KBS0714_01122	SA211_00841	AS2_01771	KD33716_01664
N0.HOG0000997	OG0000954	n0	KBS0714_01123	SA211_00842	AS2_01770	KD33716_01663
N0.HOG0000998	OG0000955	n0	KBS0714_01124	SA211_00843	AS2_01769	KD33716_01662
N0.HOG0000999	OG0000956	n0	KBS0714_01125	SA211_00844	AS2_01767	KD33716_01661
N0.HOG0001000	OG0000957	n0	KBS0714_01126	SA211_00845	AS2_01766	KD33716_01660
N0.HOG0001001	OG0000958	n0	KBS0714_01127	SA211_00846	AS2_01765	KD33716_01659
N0.HOG0001002	OG0000959	n0	KBS0714_01128	SA211_00847	AS2_01764	KD33716_01658
N0.HOG0001003	OG0000960	n0	KBS0714_01129	SA211_00848	AS2_01763	KD33716_01657
N0.HOG0001004	OG0000961	n0	KBS0714_01130	SA211_00849	AS2_01762	KD33716_01656
N0.HOG0001005	OG0000962	n0	KBS0714_01131	SA211_00850	AS2_01761	KD33716_01655
N0.HOG0001006	OG0000963	n0	KBS0714_01132	SA211_00851	AS2_01760	KD33716_01654
N0.HOG0001007	OG0000964	n0	KBS0714_01133	SA211_00852	AS2_01759	KD33716_01653
N0.HOG0001008	OG0000965	n0	KBS0714_01134	SA211_00853	AS2_01758	KD33716_01652
N0.HOG0001009	OG0000966	n0	KBS0714_01135	SA211_00854	AS2_01757	KD33716_01651
N0.HOG0001010	OG0000967	n0	KBS0714_01136	SA211_00855	AS2_01756	KD33716_01650
N0.HOG0001011	OG0000968	n0	KBS0714_01137	SA211_00856	AS2_01755	KD33716_01649
N0.HOG0001012	OG0000969	n0	KBS0714_01138	SA211_00857	AS2_01754	KD33716_01648
N0.HOG0001013	OG0000970	n0	KBS0714_01139	SA211_00858	AS2_01753	KD33716_01647
N0.HOG0001014	OG0000971	n0	KBS0714_01140	SA211_00859	AS2_01752	KD33716_01646
N0.HOG0001015	OG0000972	n0	KBS0714_01141	SA211_00860	AS2_01751	KD33716_01645
N0.HOG0001016	OG0000973	n0	KBS0714_01142	SA211_00861	AS2_01749	KD33716_01644
N0.HOG0001017	OG0000974	n0	KBS0714_01143	SA211_00862	AS2_01748	KD33716_01643
N0.HOG0001018	OG0000975	n0	KBS0714_01144	SA211_00863	AS2_01747	KD33716_01642
N0.HOG0001019	OG0000976	n0	KBS0714_01146	SA211_00865	AS2_01746	KD33716_01640
N0.HOG0001020	OG0000977	n0	KBS0714_01148	SA211_00867	AS2_01744	KD33716_01638
N0.HOG0001021	OG0000978	n0	KBS0714_01149	SA211_00868	AS2_01743	KD33716_01637
N0.HOG0001022	OG0000979	n0	KBS0714_01150	SA211_00869	AS2_01742	KD33716_01636
N0.HOG0001023	OG0000980	n0	KBS0714_01151	SA211_00870	AS2_01741	KD33716_01635
N0.HOG0001024	OG0000981	n0	KBS0714_01152	SA211_00871	AS2_01740	KD33716_01634
N0.HOG0001025	OG0000982	n0	KBS0714_01153	SA211_00872	AS2_01738	KD33716_01633
N0.HOG0001026	OG0000983	n0	KBS0714_01154	SA211_00873	AS2_01736	KD33716_01632
N0.HOG0001027	OG0000984	n0	KBS0714_01156	SA211_00875	AS2_01733	KD33716_01631
N0.HOG0001028	OG0000985	n0	KBS0714_01157	SA211_00876	AS2_01732	KD33716_01630
N0.HOG0001029	OG0000986	n0	KBS0714_01158	SA211_00877	AS2_01731	KD33716_01629
N0.HOG0001030	OG0000987	n0	KBS0714_01159	SA211_00878	AS2_01730	KD33716_01628
N0.HOG0001031	OG0000988	n0	KBS0714_01161	SA211_00880	AS2_01729	KD33716_01626
N0.HOG0001032	OG0000989	n0	KBS0714_01162	SA211_00881	AS2_01728	KD33716_01625
N0.HOG0001033	OG0000990	n0	KBS0714_01163	SA211_00882	AS2_01727	KD33716_01624
N0.HOG0001034	OG0000991	n0	KBS0714_01164	SA211_00883	AS2_01726	KD33716_01623
N0.HOG0001035	OG0000992	n0	KBS0714_01166	SA211_00885	AS2_01723	KD33716_01621
N0.HOG0001036	OG0000993	n0	KBS0714_01167	SA211_00886	AS2_01722	KD33716_01620
N0.HOG0001037	OG0000994	n0	KBS0714_01168	SA211_00887	AS2_01721	KD33716_01619
N0.HOG0001038	OG0000995	n0	KBS0714_01169	SA211_00888	AS2_01720	KD33716_01618
N0.HOG0001039	OG0000996	n0	KBS0714_01170	SA211_00889	AS2_01719	KD33716_01617
N0.HOG0001040	OG0000997	n0	KBS0714_01171	SA211_00890	AS2_01718	KD33716_01616
N0.HOG0001041	OG0000998	n0	KBS0714_01172	SA211_00891	AS2_01717	KD33716_01615
N0.HOG0001042	OG0000999	n0	KBS0714_01173	SA211_00892	AS2_01716	KD33716_01614
N0.HOG0001043	OG0001000	n0	KBS0714_01174	SA211_00893	AS2_01715	KD33716_01613
N0.HOG0001044	OG0001001	n0	KBS0714_01175	SA211_00894	AS2_01714	KD33716_01612
N0.HOG0001045	OG0001002	n0	KBS0714_01176	SA211_00895	AS2_01713	KD33716_01611
N0.HOG0001046	OG0001003	n0	KBS0714_01177	SA211_00896	AS2_01712	KD33716_01610
N0.HOG0001047	OG0001004	n0	KBS0714_01178	SA211_00897	AS2_01711	KD33716_01609
N0.HOG0001048	OG0001005	n0	KBS0714_01179	SA211_00898	AS2_01710	KD33716_01608
N0.HOG0001049	OG0001006	n0	KBS0714_01180	SA211_00899	AS2_01709	KD33716_01607
N0.HOG0001050	OG0001007	n0	KBS0714_01182	SA211_00901	AS2_01706	KD33716_01605
N0.HOG0001051	OG0001008	n0	KBS0714_01183	SA211_00902	AS2_01705	KD33716_01604
N0.HOG0001052	OG0001009	n0	KBS0714_01184	SA211_00903	AS2_01704	KD33716_01603
N0.HOG0001053	OG0001010	n0	KBS0714_01185	SA211_00904	AS2_01703	KD33716_01602
N0.HOG0001054	OG0001011	n0	KBS0714_01186	SA211_00905	AS2_01702	KD33716_01601
N0.HOG0001055	OG0001012	n0	KBS0714_01187	SA211_00906	AS2_01701	KD33716_01600
N0.HOG0001056	OG0001013	n0	KBS0714_01188	SA211_00907	AS2_01700	KD33716_01599
N0.HOG0001057	OG0001014	n0	KBS0714_01189	SA211_00908	AS2_01699	KD33716_01598
N0.HOG0001058	OG0001015	n0	KBS0714_01190	SA211_00909	AS2_01698	KD33716_01597
N0.HOG0001059	OG0001016	n0	KBS0714_01191	SA211_00910	AS2_01697	KD33716_01596
N0.HOG0001060	OG0001017	n0	KBS0714_01192	SA211_00911	AS2_01696	KD33716_01595
N0.HOG0001061	OG0001018	n0	KBS0714_01193	SA211_00912	AS2_01695	KD33716_01594
N0.HOG0001062	OG0001019	n0	KBS0714_01194	SA211_00914	AS2_01693	KD33716_01591
N0.HOG0001063	OG0001020	n0	KBS0714_01195	SA211_00915	AS2_01692	KD33716_01590
N0.HOG0001064	OG0001021	n0	KBS0714_01196	SA211_00916	AS2_01691	KD33716_01589
N0.HOG0001065	OG0001022	n0	KBS0714_01197	SA211_00917	AS2_01690	KD33716_01587
N0.HOG0001066	OG0001023	n0	KBS0714_01198	SA211_00918	AS2_01689	KD33716_01586
N0.HOG0001067	OG0001024	n0	KBS0714_01199	SA211_00919	AS2_01688	KD33716_01585
N0.HOG0001068	OG0001025	n0	KBS0714_01200	SA211_00920	AS2_01687	KD33716_01584
N0.HOG0001069	OG0001026	n0	KBS0714_01201	SA211_00921	AS2_01686	KD33716_01583
N0.HOG0001070	OG0001027	n0	KBS0714_01203	SA211_00922	AS2_01684	KD33716_01582
N0.HOG0001071	OG0001028	n0	KBS0714_01204	SA211_00923	AS2_01683	KD33716_01581
