gene	Control_#1_B_cell	Control_#2_B_cell	Control_#3_B_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_T_cell	Control_#2_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#3_erythroid_lineage_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#1_monocyte	Control_#2_monocyte	Control_#3_monocyte	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#2_monocyte	Control_#1_neutrophil	Control_#2_neutrophil	Control_#3_neutrophil	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_neutrophil	Control_#1_platelet	Control_#3_platelet	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_platelet
HP1BP3	12	21	14	86	82	133	28	387	409	297	966	620	648	95	1	1	3	19	107	90	88	157	160	214	3	2	12	1	15	41	0	0	2	4
HPCAL1	24	54	39	181	209	190	55	839	911	655	2029	1200	804	184	0	4	5	15	321	261	216	470	500	183	11	17	46	29	61	182	2	1	19	72
HPS1	5	3	9	15	29	34	1	56	59	67	165	152	147	19	13	14	30	92	43	29	39	56	76	74	0	0	3	1	4	16	0	0	0	8
HSD17B12	14	23	25	103	93	85	26	412	328	264	912	602	402	95	0	0	5	7	149	84	93	201	240	117	3	2	24	9	34	85	1	0	4	14
HSP90AA1	175	103	167	416	936	1251	49	3574	3461	1614	3991	4171	4977	383	20	22	19	932	558	470	448	758	692	1407	6	4	47	14	22	187	2	4	10	416
HSP90AB1	100	120	112	329	584	963	77	1342	1476	905	2808	2199	3207	301	18	15	48	613	324	230	249	439	366	503	0	0	3	0	2	13	0	0	1	19
HSPA4L	14	29	32	134	123	114	24	632	534	361	1303	853	579	76	0	0	2	2	229	174	140	243	294	147	7	2	21	12	34	108	0	0	0	5
HSPA9	8	22	17	46	125	161	20	365	274	261	717	653	690	82	1	1	1	11	153	83	110	193	192	160	2	3	21	8	31	126	1	0	0	6
HYCC2	15	18	12	105	83	97	22	264	272	180	813	474	346	74	0	0	3	7	103	89	78	168	181	95	6	11	29	13	44	266	0	0	1	6
ICAM3	10	18	20	59	87	106	24	340	358	252	857	601	665	107	0	1	1	3	151	92	106	237	190	150	1	14	36	10	33	144	0	1	0	2
IDH2	7	5	4	16	30	34	9	105	130	89	315	422	373	46	0	0	2	6	59	42	26	104	89	89	0	0	8	2	2	10	1	1	5	15
IDS	15	22	34	65	93	264	12	566	582	614	870	1036	784	46	1	1	1	3	186	175	143	270	226	199	1	2	7	7	14	63	1	0	0	1
IER2	15	37	30	125	142	243	32	1605	1633	885	1504	1046	1428	87	6	1	3	21	550	329	361	827	609	392	22	30	129	38	199	732	1	0	1	6
IFI16	6	17	13	120	49	68	10	169	180	127	815	531	425	65	0	1	1	4	53	56	47	260	172	98	3	2	11	11	17	48	0	0	0	7
IFITM2	7	23	13	95	84	142	18	455	511	343	1488	850	1262	155	9	0	2	62	147	183	306	793	699	1394	56	186	609	475	708	7341	0	1	20	154
IFRD1	6	15	8	22	45	90	10	159	235	89	159	172	251	12	1	0	2	15	40	8	27	44	63	56	2	20	23	29	70	215	3	1	12	117
IGBP1	5	10	8	54	49	89	6	135	170	136	531	279	413	51	0	0	6	10	84	67	59	99	98	98	0	0	0	4	3	21	3	2	4	10
IGF2R	19	20	16	127	119	84	33	417	400	252	1264	719	387	142	0	3	7	16	222	193	132	283	374	203	18	15	62	35	93	205	0	3	1	3
IK	10	12	14	51	63	64	11	268	271	198	739	421	434	57	4	4	20	63	74	53	47	112	95	102	1	0	9	2	13	41	1	1	2	4
IL2RG	13	18	22	89	92	131	20	535	573	363	1220	743	901	141	0	1	0	9	44	16	20	66	40	45	2	2	23	11	17	142	1	0	0	4
INTS6	11	11	17	53	104	79	8	256	362	162	468	271	262	20	0	0	4	21	21	30	22	61	36	24	1	2	14	5	15	37	0	0	2	3
IRAG2	7	14	7	47	76	105	8	45	43	27	160	101	55	15	0	0	0	0	39	28	32	72	59	41	5	2	18	6	20	44	1	1	6	10
IRAK4	4	4	8	25	27	24	5	122	67	54	229	143	128	14	1	0	0	1	22	16	22	46	62	32	1	2	3	3	3	28	0	0	5	9
IRF1	48	54	52	176	345	326	56	1840	1769	1329	2105	2261	2057	133	0	4	6	26	508	559	441	576	679	525	60	36	101	89	317	577	0	1	0	4
IRF2	0	5	6	39	24	39	5	62	68	57	301	99	86	19	0	0	3	16	27	24	23	79	40	30	3	2	10	9	4	46	1	0	10	17
IRF9	5	9	17	84	65	82	14	203	163	168	742	383	326	43	0	3	1	13	80	75	63	101	137	109	9	6	8	9	16	24	1	0	2	6
IRS2	31	54	45	124	177	164	22	596	640	359	1418	924	633	124	0	0	11	45	279	187	169	363	426	202	8	9	42	33	84	300	0	2	5	10
ISCA1	2	9	4	8	42	54	3	144	163	131	273	296	317	26	55	29	312	507	24	20	25	29	42	38	0	0	3	1	10	36	11	6	35	151
ISCU	8	31	33	109	146	195	19	286	226	224	778	521	563	88	12	31	137	377	65	53	65	102	103	135	0	0	13	4	6	64	6	5	18	100
ISG20L2	23	48	43	141	161	140	22	614	582	406	1426	853	613	114	0	1	6	6	202	155	157	261	323	167	3	3	36	17	46	105	0	0	2	3
IST1	4	14	10	26	50	55	5	103	87	61	204	208	162	13	0	0	2	4	61	37	30	72	86	65	1	2	6	6	10	41	0	0	3	6
ITGA1	10	42	31	264	194	104	67	579	554	386	2613	1193	664	296	0	0	9	15	207	147	131	418	424	139	4	2	17	8	54	87	0	1	0	1
ITGAL	3	11	5	32	25	20	4	271	303	200	691	497	291	62	1	1	0	3	169	102	165	170	231	238	1	2	5	3	9	38	1	0	0	1
ITM2B	23	27	29	152	182	163	14	1377	1238	916	3573	2049	2595	289	8	16	80	323	861	656	511	1129	1267	1259	19	84	313	199	280	2333	60	98	384	877
ITPR2	5	8	8	20	31	48	5	90	73	57	227	118	135	24	0	0	1	4	48	37	39	65	109	44	1	1	3	0	4	30	2	1	6	24
ITSN2	7	23	21	81	148	178	10	144	158	118	426	280	251	22	1	0	1	4	117	115	104	163	210	135	6	2	7	5	15	64	0	0	2	7
JAK1	21	39	29	134	159	209	24	715	716	481	1762	1085	1176	168	0	0	0	22	146	137	128	237	206	285	10	10	42	10	37	198	2	1	14	81
JARID2	2	14	7	29	45	42	4	91	86	45	179	102	129	13	1	1	2	14	170	105	96	198	356	405	2	6	8	9	15	71	3	2	4	19
JMJD1C	18	20	36	101	190	380	19	413	331	283	719	839	756	33	0	1	4	44	383	286	250	446	336	227	4	16	109	35	68	286	0	2	4	19
JOSD1	9	11	6	23	71	73	3	242	215	166	346	469	383	34	0	1	0	9	51	67	41	54	66	72	1	1	10	4	5	32	0	1	3	16
JTB	10	21	20	62	76	109	13	310	316	239	713	522	657	74	2	2	23	93	137	108	105	187	227	251	2	3	14	2	5	45	2	5	11	35
JUNB	14	55	67	141	261	276	24	3155	2877	1726	3887	3021	3071	460	6	1	13	50	801	564	682	1198	1076	905	26	52	184	45	190	864	0	4	0	4
JUND	209	429	327	780	1963	3999	185	6280	6078	4365	6498	5462	7003	454	14	24	83	366	1761	1139	1121	1492	1406	1523	27	76	163	95	135	656	1	3	12	33
KAT6A	8	11	17	65	104	116	5	324	319	215	727	545	507	53	1	0	2	10	93	48	60	134	137	66	3	1	29	9	16	91	4	1	11	26
KCMF1	7	11	6	45	47	48	11	135	141	97	418	264	252	32	1	2	11	28	57	32	52	84	130	95	0	0	8	6	12	45	2	2	7	30
KCNK6	43	56	51	214	215	193	45	828	782	553	1957	1278	790	192	1	0	5	13	353	276	241	483	539	235	10	3	48	21	69	209	8	3	5	11
KCNMB1	24	29	40	118	133	138	22	435	399	289	845	584	387	68	0	2	2	6	226	142	119	225	242	137	4	2	24	4	34	85	0	0	0	7
KDM5A	3	14	17	56	80	76	8	166	194	154	588	378	259	33	1	2	4	21	67	48	57	130	124	80	1	2	13	10	20	88	0	2	0	3
KDM6A	6	12	12	42	49	99	10	241	213	143	405	213	324	25	0	1	4	39	79	68	46	98	61	80	4	4	11	4	12	37	0	1	1	5
KDM6B	8	15	6	30	48	93	5	345	333	217	315	339	232	16	4	0	4	1	221	214	163	309	259	113	15	16	76	29	101	275	0	2	1	1
KDM7A	5	4	5	10	22	32	0	66	88	52	156	152	86	8	6	2	28	53	66	36	41	104	84	60	1	1	4	4	11	24	0	0	6	25
KHDRBS1	12	23	19	75	65	135	14	225	245	147	726	425	462	62	1	0	2	7	108	90	103	184	139	185	4	1	9	2	10	66	0	0	1	12
KIDINS220	20	29	29	99	140	124	14	513	507	386	1090	694	578	74	2	0	16	48	214	161	107	264	320	195	4	1	22	17	25	148	1	2	2	12
KIF2A	6	9	6	62	45	78	9	315	304	229	1162	493	542	96	0	0	0	11	29	27	25	46	62	63	0	0	5	1	5	27	60	46	179	608
KIF5B	6	7	7	36	90	120	6	230	234	166	542	472	481	46	0	0	4	19	127	85	81	223	184	217	0	3	4	6	4	57	0	0	6	24
KLF2	112	328	207	496	435	2328	91	3140	3050	2130	4785	3080	4132	328	3	7	3	52	175	153	220	305	316	703	5	13	106	63	101	465	0	1	0	5
KLF3	9	13	9	35	71	99	7	356	327	275	741	510	589	68	4	4	47	176	138	133	132	251	241	430	1	3	10	10	26	123	2	0	7	36
KLF6	75	167	100	230	473	2130	119	1474	1271	1384	1858	2557	3559	129	0	18	12	84	823	596	766	1204	1314	1289	10	12	86	52	186	817	1	0	0	27
KLHL24	13	23	19	58	94	133	9	236	227	202	417	350	350	14	0	0	0	18	98	68	68	93	127	98	0	2	7	1	19	68	0	1	1	7
KLHL5	9	60	20	125	150	111	16	165	211	123	442	305	260	46	1	0	0	5	86	69	63	119	88	59	0	0	6	3	6	39	5	1	18	51
KMT2C	17	39	32	80	155	197	24	418	356	235	814	580	519	62	2	1	7	40	292	230	229	383	400	360	11	16	52	29	63	260	2	2	7	18
KMT2E	23	49	51	181	265	323	36	698	690	502	1287	914	1080	111	1	0	14	41	170	131	117	241	219	214	0	4	14	14	16	167	2	1	2	13
KPNA4	7	20	15	68	66	143	8	206	238	183	477	298	322	46	3	3	4	20	123	97	108	186	149	188	3	2	28	5	26	109	0	0	6	14
KPNB1	7	21	9	56	55	91	6	300	291	154	655	469	405	55	0	0	3	8	84	78	58	132	136	111	3	1	15	3	11	49	0	0	1	13
KRAS	9	15	15	38	78	222	16	210	219	147	496	383	426	47	0	0	0	14	64	55	94	118	124	183	2	0	12	1	10	145	0	1	7	22
KRBA2	24	46	33	154	187	144	41	563	568	368	1480	891	574	139	0	1	7	12	157	160	97	240	254	129	1	1	10	6	27	77	0	0	3	2
KREMEN1	2	12	9	32	40	31	7	162	123	94	343	260	150	45	0	0	0	2	49	37	40	72	86	63	3	1	16	5	24	76	1	1	1	1
L1TD1	22	56	52	175	190	167	54	633	593	380	1504	961	640	168	2	0	3	9	222	143	140	283	377	198	5	8	32	13	54	98	1	0	0	2
LAMP1	4	8	8	27	62	58	3	166	171	103	357	313	283	42	0	0	1	6	75	79	83	139	166	144	4	2	9	4	21	88	1	3	14	36
LAMTOR1	4	11	9	61	56	75	10	147	156	119	412	284	349	42	1	1	13	51	206	116	115	246	257	184	0	2	1	2	8	52	33	26	137	389
LAMTOR4	14	18	34	71	92	128	12	326	318	258	869	508	638	86	1	0	2	17	265	229	245	361	360	429	3	10	34	18	46	303	1	1	2	18
LAMTOR5	21	19	27	74	78	140	12	163	162	121	435	367	333	53	6	6	58	184	121	68	105	149	149	161	0	5	10	4	4	40	0	0	4	20
LAPTM5	45	110	88	290	700	726	50	597	529	373	1541	979	1048	162	4	0	4	18	867	688	608	1134	1399	1206	14	18	92	59	184	667	0	3	7	29
LBR	5	14	16	41	49	92	6	132	146	81	419	276	289	41	0	0	1	34	54	49	42	141	130	107	4	2	20	8	35	128	0	0	2	17
LCOR	8	6	7	47	72	75	10	116	137	77	320	215	210	16	0	2	4	22	72	76	65	114	127	115	2	3	9	10	28	82	0	1	3	21
LCP1	11	34	17	103	91	159	22	607	702	488	1565	1345	1279	185	1	0	1	16	877	580	601	992	1319	1070	9	34	118	40	153	1065	1	1	0	10
LDLR	16	29	34	137	157	108	29	600	560	325	1464	937	787	184	1	0	1	12	398	250	229	406	473	258	7	8	35	6	51	148	0	3	0	1
LIMS1	3	12	4	17	19	49	3	156	161	101	772	296	311	72	0	0	1	28	146	96	117	240	255	186	1	0	8	3	16	82	88	60	307	1005
LITAF	14	8	11	56	74	113	7	410	512	322	886	600	627	51	5	0	2	16	150	158	168	319	510	347	41	37	256	111	445	1311	0	0	0	10
LMBRD1	11	12	10	39	76	105	16	103	71	71	241	164	198	20	0	0	1	3	40	35	31	48	57	59	2	1	7	4	5	10	0	0	2	13
LNPEP	4	9	9	46	32	47	7	211	214	136	630	271	305	30	1	0	0	7	54	56	52	115	100	64	1	1	0	2	1	19	2	0	4	8
LPGAT1	7	9	12	38	49	80	4	132	117	87	218	168	175	25	0	1	0	3	115	72	66	139	118	104	1	4	16	9	24	130	0	0	0	5
LPIN2	2	2	1	6	12	4	1	131	141	116	457	246	219	39	19	9	98	285	20	19	20	27	41	14	1	3	6	4	9	38	3	2	9	10
LPP	18	32	32	141	151	97	17	337	368	254	844	555	425	90	1	0	3	5	152	133	147	196	244	161	3	3	14	10	15	39	3	2	3	8
LRP10	6	19	8	51	51	67	10	218	174	141	459	300	246	62	5	4	81	152	55	58	51	98	99	71	2	6	25	13	22	122	4	1	4	24
LRRC58	44	90	98	293	397	410	82	1458	1223	889	2964	2102	1494	254	0	0	6	29	432	357	313	592	648	365	10	9	46	25	83	198	0	1	0	1
LRRFIP1	22	60	30	124	149	354	30	508	600	412	1502	1107	969	129	4	1	0	8	786	663	563	1025	760	901	15	18	88	42	84	625	8	3	4	61
LRRFIP2	3	4	6	15	22	27	3	44	43	46	127	96	94	9	0	0	3	29	45	60	29	50	79	91	0	2	1	3	10	25	3	3	11	44
LSM3	6	15	22	53	82	77	13	216	229	171	559	475	534	54	0	1	1	11	70	55	67	128	138	149	0	0	2	6	4	22	0	1	3	7
LYPLA1	4	8	13	40	41	53	9	84	98	90	282	164	194	31	0	0	0	1	91	69	65	138	131	127	1	0	6	2	5	46	0	0	6	15
LYRM7	20	48	35	127	168	133	28	445	421	323	1120	694	500	85	0	0	1	12	176	152	110	236	246	127	11	16	53	10	69	147	0	1	0	5
LYST	11	8	7	56	104	84	3	112	160	78	239	212	189	14	0	0	0	8	223	178	242	298	327	342	2	7	35	18	38	224	0	2	4	20
MAB21L3	195	399	314	1377	1488	1692	230	4288	4342	2915	10938	6395	5236	796	2	1	22	126	849	719	624	1301	1223	1053	8	8	43	44	135	277	0	1	4	12
MACF1	27	43	34	182	228	158	18	819	733	498	1961	1267	873	173	1	0	1	13	291	227	178	312	431	273	1	5	35	8	26	105	4	3	16	48
MACROH2A1	5	9	11	44	28	40	8	159	182	117	534	414	439	46	0	0	0	7	422	346	342	565	673	627	1	3	16	10	19	95	1	0	2	7
MAF1	6	15	10	39	49	65	14	117	112	102	344	205	224	40	9	21	71	157	57	34	37	94	86	73	0	0	2	1	2	8	0	3	13	38
MAP1LC3B	7	24	18	48	107	199	18	248	247	206	536	458	643	55	32	42	230	960	212	135	173	285	405	502	2	2	34	23	60	302	2	13	19	92
MAP2K2	6	16	12	62	79	88	16	173	201	155	528	399	491	63	7	6	34	53	79	79	71	134	126	146	0	0	3	2	4	45	1	1	8	25
MAP2K3	3	2	7	14	34	28	3	57	70	46	131	98	110	12	52	85	227	968	99	105	97	160	180	149	5	4	36	6	70	251	5	8	17	44
MAP3K11	6	6	7	24	27	33	2	141	138	100	249	185	126	16	0	0	1	1	87	77	57	102	112	88	7	3	15	2	11	59	0	1	0	5
MAP3K2	10	19	19	47	111	138	6	251	248	169	442	358	303	20	1	0	1	6	335	266	200	408	401	321	6	4	42	17	99	371	0	0	0	7
MAP3K8	2	6	11	30	150	124	7	173	192	97	140	182	206	9	0	0	2	8	162	127	164	256	530	715	1	2	11	4	9	117	2	0	0	14
MAP4K2	13	12	13	50	54	46	9	136	137	86	320	197	132	34	0	0	2	2	63	59	62	60	89	64	1	0	8	8	6	39	2	1	1	24
MAP4K4	7	23	14	65	96	119	8	150	171	125	382	254	198	33	0	5	10	16	135	82	74	131	112	117	2	1	25	7	31	139	0	1	1	19
MAPK1	4	4	2	21	24	41	4	90	134	85	203	141	152	17	2	3	19	67	81	79	66	112	141	111	1	1	11	4	18	109	2	3	6	41
MAPK1IP1L	8	23	13	28	83	105	5	195	224	164	322	406	388	29	0	0	2	5	81	62	75	103	100	124	0	0	4	1	7	33	0	2	2	8
MAPKAPK2	2	10	8	19	16	37	4	92	89	94	193	156	169	9	0	0	3	8	70	59	51	74	107	120	3	0	8	9	20	73	2	3	2	28
MAPRE1	3	7	4	17	35	65	7	124	154	104	290	325	282	27	0	0	0	1	79	48	59	116	111	128	0	2	3	5	5	43	2	2	12	29
MARCHF6	12	11	13	53	55	89	8	164	148	137	391	267	211	21	3	4	16	59	65	47	37	95	79	68	4	2	8	2	9	43	2	0	10	30
MARK3	15	18	11	70	73	58	16	255	277	191	700	450	311	56	3	14	41	173	84	79	86	192	235	142	0	1	15	6	18	93	2	1	4	10
MAVS	2	2	1	22	22	17	8	74	64	55	249	98	79	14	0	0	0	5	54	37	29	86	58	19	1	1	3	2	5	11	3	3	8	13
MAX	4	10	7	27	38	49	7	172	187	106	426	267	310	35	0	1	5	21	47	24	33	69	75	60	3	2	11	4	6	67	32	23	82	218
MBD2	4	17	12	43	68	93	4	152	177	125	315	333	301	33	1	0	3	5	197	113	128	187	279	578	0	0	8	1	11	88	1	1	1	9
MBD4	14	14	22	80	48	52	8	117	120	67	263	178	220	21	0	0	0	6	85	45	44	88	85	84	1	1	5	3	14	45	2	1	0	2
MBD5	4	14	12	30	31	39	4	110	125	89	320	126	141	22	1	1	8	19	22	20	27	34	38	40	0	1	5	2	10	29	1	0	3	15
MBNL1	25	39	31	144	145	185	34	729	712	488	1873	921	988	125	1	2	12	49	262	264	226	458	367	248	2	4	21	11	19	98	19	12	39	156
MBP	10	8	15	56	37	69	4	311	328	205	1132	660	486	98	15	12	15	44	112	90	95	183	140	161	2	5	22	9	27	133	10	4	20	51
MCL1	8	12	15	24	66	120	7	418	502	355	807	640	701	74	1	1	4	13	734	535	458	877	837	471	25	40	144	98	179	722	0	1	1	8
MDM2	3	5	2	15	36	41	4	125	82	73	228	189	149	18	3	0	9	26	46	35	32	60	70	75	1	1	2	6	7	30	2	0	2	13
MDM4	17	43	36	138	249	240	26	341	355	220	777	533	546	80	0	0	3	14	182	121	98	199	231	163	5	6	12	8	36	50	0	0	0	6
MECP2	6	11	17	45	66	98	13	243	214	175	548	416	400	61	2	0	0	11	63	54	59	92	107	100	3	1	12	7	28	85	1	0	8	13
MED11	3	5	11	43	42	28	7	150	117	108	356	207	159	24	0	0	0	3	47	30	33	59	63	50	1	0	5	7	8	45	1	0	2	2
MED12	13	20	13	70	60	64	11	295	266	190	514	358	282	36	0	1	2	6	105	80	72	82	118	101	7	2	17	1	32	83	1	0	1	2
MED13	4	13	12	37	54	70	3	126	123	92	256	199	238	15	1	0	9	27	79	42	49	77	102	66	1	2	7	4	13	68	0	0	5	15
MED13L	6	31	27	66	114	117	13	242	242	140	574	337	351	62	4	3	21	59	231	194	164	315	446	409	3	6	49	25	73	196	0	1	1	9
MED27	10	28	13	77	107	117	23	316	277	225	753	478	377	40	0	0	0	4	104	132	137	155	202	91	2	1	14	5	22	65	1	0	1	1
MED28	9	10	1	41	45	58	7	127	108	112	379	212	220	29	1	3	11	21	81	53	49	102	101	84	1	1	9	4	5	26	0	1	4	1
MEF2A	12	11	18	52	74	131	7	51	63	40	188	89	78	16	0	0	0	2	102	63	59	155	138	80	1	0	3	1	7	25	0	0	2	15
METTL9	3	4	5	28	43	43	6	138	158	115	383	255	297	40	4	14	7	70	213	119	126	198	317	199	0	1	9	6	18	82	2	0	4	17
MFN1	19	27	37	116	152	100	23	478	451	327	1035	704	388	72	0	1	2	6	146	100	118	187	220	111	5	1	25	11	26	55	0	1	1	0
MFSD11	4	8	7	25	39	33	7	174	137	74	266	224	151	24	0	0	1	5	61	41	39	69	63	46	1	2	2	1	12	36	0	0	3	7
MGAT4A	20	35	48	128	129	179	18	986	973	684	2057	1356	1286	162	0	1	2	23	219	152	136	257	343	172	12	9	56	15	65	196	0	1	0	3
MGLL	2	2	7	38	21	20	17	74	74	37	414	191	99	64	0	0	0	3	41	28	39	86	79	60	1	0	3	2	9	12	6	11	40	61
MICAL3	23	51	46	129	181	148	24	445	472	323	848	576	427	66	0	1	3	22	146	122	122	131	185	107	3	1	18	10	37	47	0	1	0	3
MID1	18	30	32	110	121	117	28	536	459	348	1131	701	489	70	0	0	2	16	153	117	107	215	233	115	11	9	23	6	28	72	0	1	0	0
MIDN	9	5	26	29	42	48	2	195	176	157	288	234	237	19	2	0	1	7	326	323	308	518	483	507	5	14	94	24	93	339	1	1	1	4
MIER1	2	19	11	35	78	102	4	217	248	169	609	434	410	44	1	0	1	18	90	59	73	122	141	137	1	1	8	14	19	100	1	1	1	13
MIGA1	4	10	9	60	62	44	11	199	166	117	514	342	233	40	0	0	1	2	121	79	78	143	163	83	3	2	20	7	24	45	0	1	0	2
MINDY2	15	15	10	31	50	41	7	214	221	160	552	317	216	39	0	1	0	5	61	46	59	87	109	58	0	2	23	9	22	59	0	1	4	5
MKNK2	3	12	12	63	90	74	9	114	148	71	276	139	121	19	2	12	13	45	42	69	29	83	59	33	2	5	7	10	24	61	0	1	0	2
MKRN1	1	7	14	33	46	57	8	100	97	74	258	165	205	28	127	139	439	1115	90	85	79	117	184	148	0	2	8	7	18	61	9	3	29	66
MLF2	5	7	6	26	22	41	12	111	109	66	234	146	172	23	1	1	5	9	61	60	44	76	80	77	3	1	16	6	23	89	0	1	0	8
MLH1	16	20	30	54	91	109	16	309	289	239	576	474	350	53	0	0	1	8	74	65	62	99	103	71	3	1	9	5	13	40	0	1	0	1
MLLT6-1	11	18	12	60	55	53	12	411	334	269	875	425	309	53	0	0	1	1	87	67	43	92	113	67	5	10	25	8	36	58	0	1	0	0
MLX	39	36	37	249	186	125	66	627	566	347	1995	1019	656	250	0	1	1	11	224	197	151	435	488	163	12	1	29	14	73	98	0	0	2	3
MMP24OS	2	5	6	22	28	21	1	98	100	61	267	157	152	24	1	3	13	12	46	35	43	90	109	85	1	0	5	1	6	26	3	4	8	20
MOB1A	15	20	24	85	136	229	19	211	212	169	549	441	433	48	0	0	0	8	197	159	140	339	346	328	1	3	11	9	33	178	8	13	31	89
MORC3	8	5	7	50	49	42	7	138	134	97	331	266	245	30	0	0	3	23	56	41	39	78	86	42	1	0	7	2	7	21	1	0	3	13
MORF4L1	14	36	44	137	190	335	27	652	648	475	1479	1089	1302	141	5	7	24	117	259	175	181	357	314	401	2	1	17	7	5	104	7	4	33	153
MPC2	2	11	10	19	41	88	6	152	119	124	334	259	349	38	8	2	17	87	45	27	44	62	52	72	0	0	1	3	4	26	0	2	11	35
MPLKIP	6	6	8	38	25	31	7	106	76	54	363	197	162	39	0	0	0	8	28	26	34	76	64	63	1	1	4	3	3	13	0	0	2	2
MRFAP1	6	14	5	42	52	92	2	231	203	169	493	382	508	41	11	8	23	65	74	53	64	101	78	83	0	0	2	6	3	15	3	2	8	11
MRPL33	2	10	9	33	61	61	10	192	215	147	440	357	336	54	0	1	4	9	99	53	72	154	129	105	1	1	2	3	5	17	0	0	0	7
MRPL57	11	14	14	40	56	67	7	278	245	181	674	481	493	47	0	0	5	4	83	67	79	138	107	115	0	0	5	1	7	25	2	1	0	7
MS4A4E	21	26	32	62	109	103	9	474	357	282	647	393	347	19	0	0	3	6	179	145	143	170	177	131	4	1	17	11	30	63	4	6	3	6
MSL1	2	4	7	15	31	20	6	103	109	86	257	124	113	23	0	0	0	5	53	47	33	89	104	48	3	6	21	15	43	139	0	0	2	1
MSN	10	19	19	74	73	102	9	365	392	294	978	546	656	91	0	0	1	18	376	292	297	490	549	629	5	10	33	6	30	235	27	10	33	144
MT-ATP6	1026	906	1918	3603	8700	9465	1210	20730	15215	22009	30362	35783	35003	4238	71	20	328	430	7505	4702	8341	6394	13990	12489	35	50	302	22	212	701	139	367	639	1137
MT-ATP8	17	24	36	144	188	93	27	461	297	336	741	574	386	63	0	0	16	5	229	141	160	293	365	130	1	3	6	1	5	9	3	9	20	36
MT-CO1	703	916	1784	4768	6171	7879	1260	15583	13325	20410	36799	28094	31108	4217	339	83	1039	900	11218	6748	12096	12202	19740	14089	15	18	185	14	92	631	115	278	637	1489
MT-CO2	945	1158	1840	5172	9620	8434	1147	19834	14527	19097	38436	36846	32873	4115	47	24	353	465	8990	5601	9115	10199	16863	12082	16	37	247	35	344	765	124	294	500	970
MT-CO3	1302	1210	2116	5527	10452	9565	1436	26799	16933	21458	47279	43094	37531	4818	88	30	499	641	9956	5478	8064	10456	19609	12468	68	43	340	13	238	1196	116	205	716	1078
MT-CYB	758	666	1248	2476	6247	5481	685	16592	11006	15649	24023	27233	21110	2830	71	12	188	293	4987	2835	4968	4390	10293	7256	38	34	272	16	271	496	73	188	362	633
MT-ND1	567	594	1019	2106	4770	3809	325	11747	8636	10766	19415	18939	13741	1094	38	14	172	178	6100	4202	5465	6340	10817	6003	36	55	214	58	324	500	41	138	262	377
MT-ND2	403	409	730	1262	3363	2951	245	8719	6834	8593	11909	12073	10665	941	42	14	134	219	3651	2598	4233	3959	7567	4883	26	48	243	42	281	333	146	293	488	904
MT-ND3	1160	988	2212	4749	7491	4614	1110	22691	11777	19028	34158	24753	17278	3327	57	13	120	205	8759	5499	8878	8310	14281	6784	25	53	205	17	272	532	70	145	320	298
MT-ND4	706	682	1383	2924	5251	5543	845	11803	9848	14844	23258	19117	19977	2895	64	25	232	282	5323	3772	6826	5931	8921	7523	23	41	381	16	214	634	85	224	329	680
MT-ND4L	50	57	118	264	438	347	59	715	628	846	1465	1043	841	130	6	2	28	32	481	394	543	515	734	403	1	9	49	8	22	48	9	23	20	28
MT-ND5	153	162	276	898	1069	1325	213	3514	2899	4047	7139	4540	5033	852	41	7	118	101	1419	963	1589	2050	2150	1695	6	8	48	9	43	78	20	32	60	151
MTATP6P1	489	369	705	683	1931	1866	75	10061	6068	8807	5970	7784	6247	238	29	2	74	86	3369	1583	2992	1319	2682	2498	8	12	85	4	42	95	69	131	118	242
MTCH1	9	16	11	48	75	77	3	182	197	134	389	329	281	40	1	5	3	27	156	128	106	200	147	164	1	2	6	5	13	37	1	1	4	15
MTDH	8	33	40	119	157	243	19	395	457	413	1153	774	934	141	0	0	1	20	244	203	198	416	414	405	2	2	4	0	6	29	2	3	0	18
MTHFD1	33	59	54	249	276	251	59	967	961	757	2413	1659	997	238	1	2	3	17	322	223	222	398	512	227	7	8	48	15	55	150	0	2	1	7
MTND1P23	23	21	24	152	193	2872	534	313	281	237	1462	938	8775	1656	0	1	6	128	164	112	119	445	725	5149	0	3	5	0	10	287	3	3	19	281
MTND2P28	8	7	11	21	64	30	7	131	82	93	144	139	94	8	1	0	1	6	48	38	59	51	97	37	3	2	3	1	2	2	2	6	11	20
