gene	Control_#1_B_cell	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#2_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#3_B_cell	Control_#3_T_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
HP1BP3	12	387	107	3	0	21	409	90	2	14	297	1	88	12	0	86	966	1	157	1	82	620	3	160	15	2	133	648	19	214	41	4	28	95
HPCAL1	24	839	321	11	2	54	911	261	17	39	655	0	216	46	1	181	2029	4	470	29	209	1200	5	500	61	19	190	804	15	183	182	72	55	184
HPS1	5	56	43	0	0	3	59	29	0	9	67	13	39	3	0	15	165	14	56	1	29	152	30	76	4	0	34	147	92	74	16	8	1	19
HSD17B12	14	412	149	3	1	23	328	84	2	25	264	0	93	24	0	103	912	0	201	9	93	602	5	240	34	4	85	402	7	117	85	14	26	95
HSP90AA1	175	3574	558	6	2	103	3461	470	4	167	1614	20	448	47	4	416	3991	22	758	14	936	4171	19	692	22	10	1251	4977	932	1407	187	416	49	383
HSP90AB1	100	1342	324	0	0	120	1476	230	0	112	905	18	249	3	0	329	2808	15	439	0	584	2199	48	366	2	1	963	3207	613	503	13	19	77	301
HSPA4L	14	632	229	7	0	29	534	174	2	32	361	0	140	21	0	134	1303	0	243	12	123	853	2	294	34	0	114	579	2	147	108	5	24	76
HSPA9	8	365	153	2	1	22	274	83	3	17	261	1	110	21	0	46	717	1	193	8	125	653	1	192	31	0	161	690	11	160	126	6	20	82
HYCC2	15	264	103	6	0	18	272	89	11	12	180	0	78	29	0	105	813	0	168	13	83	474	3	181	44	1	97	346	7	95	266	6	22	74
ICAM3	10	340	151	1	0	18	358	92	14	20	252	0	106	36	1	59	857	1	237	10	87	601	1	190	33	0	106	665	3	150	144	2	24	107
IDH2	7	105	59	0	1	5	130	42	0	4	89	0	26	8	1	16	315	0	104	2	30	422	2	89	2	5	34	373	6	89	10	15	9	46
IDS	15	566	186	1	1	22	582	175	2	34	614	1	143	7	0	65	870	1	270	7	93	1036	1	226	14	0	264	784	3	199	63	1	12	46
IER2	15	1605	550	22	1	37	1633	329	30	30	885	6	361	129	0	125	1504	1	827	38	142	1046	3	609	199	1	243	1428	21	392	732	6	32	87
IFI16	6	169	53	3	0	17	180	56	2	13	127	0	47	11	0	120	815	1	260	11	49	531	1	172	17	0	68	425	4	98	48	7	10	65
IFITM2	7	455	147	56	0	23	511	183	186	13	343	9	306	609	1	95	1488	0	793	475	84	850	2	699	708	20	142	1262	62	1394	7341	154	18	155
IFRD1	6	159	40	2	3	15	235	8	20	8	89	1	27	23	1	22	159	0	44	29	45	172	2	63	70	12	90	251	15	56	215	117	10	12
IGBP1	5	135	84	0	3	10	170	67	0	8	136	0	59	0	2	54	531	0	99	4	49	279	6	98	3	4	89	413	10	98	21	10	6	51
IGF2R	19	417	222	18	0	20	400	193	15	16	252	0	132	62	3	127	1264	3	283	35	119	719	7	374	93	1	84	387	16	203	205	3	33	142
IK	10	268	74	1	1	12	271	53	0	14	198	4	47	9	1	51	739	4	112	2	63	421	20	95	13	2	64	434	63	102	41	4	11	57
IL2RG	13	535	44	2	1	18	573	16	2	22	363	0	20	23	0	89	1220	1	66	11	92	743	0	40	17	0	131	901	9	45	142	4	20	141
INTS6	11	256	21	1	0	11	362	30	2	17	162	0	22	14	0	53	468	0	61	5	104	271	4	36	15	2	79	262	21	24	37	3	8	20
IRAG2	7	45	39	5	1	14	43	28	2	7	27	0	32	18	1	47	160	0	72	6	76	101	0	59	20	6	105	55	0	41	44	10	8	15
IRAK4	4	122	22	1	0	4	67	16	2	8	54	1	22	3	0	25	229	0	46	3	27	143	0	62	3	5	24	128	1	32	28	9	5	14
IRF1	48	1840	508	60	0	54	1769	559	36	52	1329	0	441	101	1	176	2105	4	576	89	345	2261	6	679	317	0	326	2057	26	525	577	4	56	133
IRF2	0	62	27	3	1	5	68	24	2	6	57	0	23	10	0	39	301	0	79	9	24	99	3	40	4	10	39	86	16	30	46	17	5	19
IRF9	5	203	80	9	1	9	163	75	6	17	168	0	63	8	0	84	742	3	101	9	65	383	1	137	16	2	82	326	13	109	24	6	14	43
IRS2	31	596	279	8	0	54	640	187	9	45	359	0	169	42	2	124	1418	0	363	33	177	924	11	426	84	5	164	633	45	202	300	10	22	124
ISCA1	2	144	24	0	11	9	163	20	0	4	131	55	25	3	6	8	273	29	29	1	42	296	312	42	10	35	54	317	507	38	36	151	3	26
ISCU	8	286	65	0	6	31	226	53	0	33	224	12	65	13	5	109	778	31	102	4	146	521	137	103	6	18	195	563	377	135	64	100	19	88
ISG20L2	23	614	202	3	0	48	582	155	3	43	406	0	157	36	0	141	1426	1	261	17	161	853	6	323	46	2	140	613	6	167	105	3	22	114
IST1	4	103	61	1	0	14	87	37	2	10	61	0	30	6	0	26	204	0	72	6	50	208	2	86	10	3	55	162	4	65	41	6	5	13
ITGA1	10	579	207	4	0	42	554	147	2	31	386	0	131	17	1	264	2613	0	418	8	194	1193	9	424	54	0	104	664	15	139	87	1	67	296
ITGAL	3	271	169	1	1	11	303	102	2	5	200	1	165	5	0	32	691	1	170	3	25	497	0	231	9	0	20	291	3	238	38	1	4	62
ITM2B	23	1377	861	19	60	27	1238	656	84	29	916	8	511	313	98	152	3573	16	1129	199	182	2049	80	1267	280	384	163	2595	323	1259	2333	877	14	289
ITPR2	5	90	48	1	2	8	73	37	1	8	57	0	39	3	1	20	227	0	65	0	31	118	1	109	4	6	48	135	4	44	30	24	5	24
ITSN2	7	144	117	6	0	23	158	115	2	21	118	1	104	7	0	81	426	0	163	5	148	280	1	210	15	2	178	251	4	135	64	7	10	22
JAK1	21	715	146	10	2	39	716	137	10	29	481	0	128	42	1	134	1762	0	237	10	159	1085	0	206	37	14	209	1176	22	285	198	81	24	168
JARID2	2	91	170	2	3	14	86	105	6	7	45	1	96	8	2	29	179	1	198	9	45	102	2	356	15	4	42	129	14	405	71	19	4	13
JMJD1C	18	413	383	4	0	20	331	286	16	36	283	0	250	109	2	101	719	1	446	35	190	839	4	336	68	4	380	756	44	227	286	19	19	33
JOSD1	9	242	51	1	0	11	215	67	1	6	166	0	41	10	1	23	346	1	54	4	71	469	0	66	5	3	73	383	9	72	32	16	3	34
JTB	10	310	137	2	2	21	316	108	3	20	239	2	105	14	5	62	713	2	187	2	76	522	23	227	5	11	109	657	93	251	45	35	13	74
JUNB	14	3155	801	26	0	55	2877	564	52	67	1726	6	682	184	4	141	3887	1	1198	45	261	3021	13	1076	190	0	276	3071	50	905	864	4	24	460
JUND	209	6280	1761	27	1	429	6078	1139	76	327	4365	14	1121	163	3	780	6498	24	1492	95	1963	5462	83	1406	135	12	3999	7003	366	1523	656	33	185	454
KAT6A	8	324	93	3	4	11	319	48	1	17	215	1	60	29	1	65	727	0	134	9	104	545	2	137	16	11	116	507	10	66	91	26	5	53
KCMF1	7	135	57	0	2	11	141	32	0	6	97	1	52	8	2	45	418	2	84	6	47	264	11	130	12	7	48	252	28	95	45	30	11	32
KCNK6	43	828	353	10	8	56	782	276	3	51	553	1	241	48	3	214	1957	0	483	21	215	1278	5	539	69	5	193	790	13	235	209	11	45	192
KCNMB1	24	435	226	4	0	29	399	142	2	40	289	0	119	24	0	118	845	2	225	4	133	584	2	242	34	0	138	387	6	137	85	7	22	68
KDM5A	3	166	67	1	0	14	194	48	2	17	154	1	57	13	2	56	588	2	130	10	80	378	4	124	20	0	76	259	21	80	88	3	8	33
KDM6A	6	241	79	4	0	12	213	68	4	12	143	0	46	11	1	42	405	1	98	4	49	213	4	61	12	1	99	324	39	80	37	5	10	25
KDM6B	8	345	221	15	0	15	333	214	16	6	217	4	163	76	2	30	315	0	309	29	48	339	4	259	101	1	93	232	1	113	275	1	5	16
KDM7A	5	66	66	1	0	4	88	36	1	5	52	6	41	4	0	10	156	2	104	4	22	152	28	84	11	6	32	86	53	60	24	25	0	8
KHDRBS1	12	225	108	4	0	23	245	90	1	19	147	1	103	9	0	75	726	0	184	2	65	425	2	139	10	1	135	462	7	185	66	12	14	62
KIDINS220	20	513	214	4	1	29	507	161	1	29	386	2	107	22	2	99	1090	0	264	17	140	694	16	320	25	2	124	578	48	195	148	12	14	74
KIF2A	6	315	29	0	60	9	304	27	0	6	229	0	25	5	46	62	1162	0	46	1	45	493	0	62	5	179	78	542	11	63	27	608	9	96
KIF5B	6	230	127	0	0	7	234	85	3	7	166	0	81	4	0	36	542	0	223	6	90	472	4	184	4	6	120	481	19	217	57	24	6	46
KLF2	112	3140	175	5	0	328	3050	153	13	207	2130	3	220	106	1	496	4785	7	305	63	435	3080	3	316	101	0	2328	4132	52	703	465	5	91	328
KLF3	9	356	138	1	2	13	327	133	3	9	275	4	132	10	0	35	741	4	251	10	71	510	47	241	26	7	99	589	176	430	123	36	7	68
KLF6	75	1474	823	10	1	167	1271	596	12	100	1384	0	766	86	0	230	1858	18	1204	52	473	2557	12	1314	186	0	2130	3559	84	1289	817	27	119	129
KLHL24	13	236	98	0	0	23	227	68	2	19	202	0	68	7	1	58	417	0	93	1	94	350	0	127	19	1	133	350	18	98	68	7	9	14
KLHL5	9	165	86	0	5	60	211	69	0	20	123	1	63	6	1	125	442	0	119	3	150	305	0	88	6	18	111	260	5	59	39	51	16	46
KMT2C	17	418	292	11	2	39	356	230	16	32	235	2	229	52	2	80	814	1	383	29	155	580	7	400	63	7	197	519	40	360	260	18	24	62
KMT2E	23	698	170	0	2	49	690	131	4	51	502	1	117	14	1	181	1287	0	241	14	265	914	14	219	16	2	323	1080	41	214	167	13	36	111
KPNA4	7	206	123	3	0	20	238	97	2	15	183	3	108	28	0	68	477	3	186	5	66	298	4	149	26	6	143	322	20	188	109	14	8	46
KPNB1	7	300	84	3	0	21	291	78	1	9	154	0	58	15	0	56	655	0	132	3	55	469	3	136	11	1	91	405	8	111	49	13	6	55
KRAS	9	210	64	2	0	15	219	55	0	15	147	0	94	12	1	38	496	0	118	1	78	383	0	124	10	7	222	426	14	183	145	22	16	47
KRBA2	24	563	157	1	0	46	568	160	1	33	368	0	97	10	0	154	1480	1	240	6	187	891	7	254	27	3	144	574	12	129	77	2	41	139
KREMEN1	2	162	49	3	1	12	123	37	1	9	94	0	40	16	1	32	343	0	72	5	40	260	0	86	24	1	31	150	2	63	76	1	7	45
L1TD1	22	633	222	5	1	56	593	143	8	52	380	2	140	32	0	175	1504	0	283	13	190	961	3	377	54	0	167	640	9	198	98	2	54	168
LAMP1	4	166	75	4	1	8	171	79	2	8	103	0	83	9	3	27	357	0	139	4	62	313	1	166	21	14	58	283	6	144	88	36	3	42
LAMTOR1	4	147	206	0	33	11	156	116	2	9	119	1	115	1	26	61	412	1	246	2	56	284	13	257	8	137	75	349	51	184	52	389	10	42
LAMTOR4	14	326	265	3	1	18	318	229	10	34	258	1	245	34	1	71	869	0	361	18	92	508	2	360	46	2	128	638	17	429	303	18	12	86
LAMTOR5	21	163	121	0	0	19	162	68	5	27	121	6	105	10	0	74	435	6	149	4	78	367	58	149	4	4	140	333	184	161	40	20	12	53
LAPTM5	45	597	867	14	0	110	529	688	18	88	373	4	608	92	3	290	1541	0	1134	59	700	979	4	1399	184	7	726	1048	18	1206	667	29	50	162
LBR	5	132	54	4	0	14	146	49	2	16	81	0	42	20	0	41	419	0	141	8	49	276	1	130	35	2	92	289	34	107	128	17	6	41
LCOR	8	116	72	2	0	6	137	76	3	7	77	0	65	9	1	47	320	2	114	10	72	215	4	127	28	3	75	210	22	115	82	21	10	16
LCP1	11	607	877	9	1	34	702	580	34	17	488	1	601	118	1	103	1565	0	992	40	91	1345	1	1319	153	0	159	1279	16	1070	1065	10	22	185
LDLR	16	600	398	7	0	29	560	250	8	34	325	1	229	35	3	137	1464	0	406	6	157	937	1	473	51	0	108	787	12	258	148	1	29	184
LIMS1	3	156	146	1	88	12	161	96	0	4	101	0	117	8	60	17	772	0	240	3	19	296	1	255	16	307	49	311	28	186	82	1005	3	72
LITAF	14	410	150	41	0	8	512	158	37	11	322	5	168	256	0	56	886	0	319	111	74	600	2	510	445	0	113	627	16	347	1311	10	7	51
LMBRD1	11	103	40	2	0	12	71	35	1	10	71	0	31	7	0	39	241	0	48	4	76	164	1	57	5	2	105	198	3	59	10	13	16	20
LNPEP	4	211	54	1	2	9	214	56	1	9	136	1	52	0	0	46	630	0	115	2	32	271	0	100	1	4	47	305	7	64	19	8	7	30
LPGAT1	7	132	115	1	0	9	117	72	4	12	87	0	66	16	0	38	218	1	139	9	49	168	0	118	24	0	80	175	3	104	130	5	4	25
LPIN2	2	131	20	1	3	2	141	19	3	1	116	19	20	6	2	6	457	9	27	4	12	246	98	41	9	9	4	219	285	14	38	10	1	39
LPP	18	337	152	3	3	32	368	133	3	32	254	1	147	14	2	141	844	0	196	10	151	555	3	244	15	3	97	425	5	161	39	8	17	90
LRP10	6	218	55	2	4	19	174	58	6	8	141	5	51	25	1	51	459	4	98	13	51	300	81	99	22	4	67	246	152	71	122	24	10	62
LRRC58	44	1458	432	10	0	90	1223	357	9	98	889	0	313	46	1	293	2964	0	592	25	397	2102	6	648	83	0	410	1494	29	365	198	1	82	254
LRRFIP1	22	508	786	15	8	60	600	663	18	30	412	4	563	88	3	124	1502	1	1025	42	149	1107	0	760	84	4	354	969	8	901	625	61	30	129
LRRFIP2	3	44	45	0	3	4	43	60	2	6	46	0	29	1	3	15	127	0	50	3	22	96	3	79	10	11	27	94	29	91	25	44	3	9
LSM3	6	216	70	0	0	15	229	55	0	22	171	0	67	2	1	53	559	1	128	6	82	475	1	138	4	3	77	534	11	149	22	7	13	54
LYPLA1	4	84	91	1	0	8	98	69	0	13	90	0	65	6	0	40	282	0	138	2	41	164	0	131	5	6	53	194	1	127	46	15	9	31
LYRM7	20	445	176	11	0	48	421	152	16	35	323	0	110	53	1	127	1120	0	236	10	168	694	1	246	69	0	133	500	12	127	147	5	28	85
LYST	11	112	223	2	0	8	160	178	7	7	78	0	242	35	2	56	239	0	298	18	104	212	0	327	38	4	84	189	8	342	224	20	3	14
MAB21L3	195	4288	849	8	0	399	4342	719	8	314	2915	2	624	43	1	1377	10938	1	1301	44	1488	6395	22	1223	135	4	1692	5236	126	1053	277	12	230	796
MACF1	27	819	291	1	4	43	733	227	5	34	498	1	178	35	3	182	1961	0	312	8	228	1267	1	431	26	16	158	873	13	273	105	48	18	173
MACROH2A1	5	159	422	1	1	9	182	346	3	11	117	0	342	16	0	44	534	0	565	10	28	414	0	673	19	2	40	439	7	627	95	7	8	46
MAF1	6	117	57	0	0	15	112	34	0	10	102	9	37	2	3	39	344	21	94	1	49	205	71	86	2	13	65	224	157	73	8	38	14	40
MAP1LC3B	7	248	212	2	2	24	247	135	2	18	206	32	173	34	13	48	536	42	285	23	107	458	230	405	60	19	199	643	960	502	302	92	18	55
MAP2K2	6	173	79	0	1	16	201	79	0	12	155	7	71	3	1	62	528	6	134	2	79	399	34	126	4	8	88	491	53	146	45	25	16	63
MAP2K3	3	57	99	5	5	2	70	105	4	7	46	52	97	36	8	14	131	85	160	6	34	98	227	180	70	17	28	110	968	149	251	44	3	12
MAP3K11	6	141	87	7	0	6	138	77	3	7	100	0	57	15	1	24	249	0	102	2	27	185	1	112	11	0	33	126	1	88	59	5	2	16
MAP3K2	10	251	335	6	0	19	248	266	4	19	169	1	200	42	0	47	442	0	408	17	111	358	1	401	99	0	138	303	6	321	371	7	6	20
MAP3K8	2	173	162	1	2	6	192	127	2	11	97	0	164	11	0	30	140	0	256	4	150	182	2	530	9	0	124	206	8	715	117	14	7	9
MAP4K2	13	136	63	1	2	12	137	59	0	13	86	0	62	8	1	50	320	0	60	8	54	197	2	89	6	1	46	132	2	64	39	24	9	34
MAP4K4	7	150	135	2	0	23	171	82	1	14	125	0	74	25	1	65	382	5	131	7	96	254	10	112	31	1	119	198	16	117	139	19	8	33
MAPK1	4	90	81	1	2	4	134	79	1	2	85	2	66	11	3	21	203	3	112	4	24	141	19	141	18	6	41	152	67	111	109	41	4	17
MAPK1IP1L	8	195	81	0	0	23	224	62	0	13	164	0	75	4	2	28	322	0	103	1	83	406	2	100	7	2	105	388	5	124	33	8	5	29
MAPKAPK2	2	92	70	3	2	10	89	59	0	8	94	0	51	8	3	19	193	0	74	9	16	156	3	107	20	2	37	169	8	120	73	28	4	9
MAPRE1	3	124	79	0	2	7	154	48	2	4	104	0	59	3	2	17	290	0	116	5	35	325	0	111	5	12	65	282	1	128	43	29	7	27
MARCHF6	12	164	65	4	2	11	148	47	2	13	137	3	37	8	0	53	391	4	95	2	55	267	16	79	9	10	89	211	59	68	43	30	8	21
MARK3	15	255	84	0	2	18	277	79	1	11	191	3	86	15	1	70	700	14	192	6	73	450	41	235	18	4	58	311	173	142	93	10	16	56
MAVS	2	74	54	1	3	2	64	37	1	1	55	0	29	3	3	22	249	0	86	2	22	98	0	58	5	8	17	79	5	19	11	13	8	14
MAX	4	172	47	3	32	10	187	24	2	7	106	0	33	11	23	27	426	1	69	4	38	267	5	75	6	82	49	310	21	60	67	218	7	35
MBD2	4	152	197	0	1	17	177	113	0	12	125	1	128	8	1	43	315	0	187	1	68	333	3	279	11	1	93	301	5	578	88	9	4	33
MBD4	14	117	85	1	2	14	120	45	1	22	67	0	44	5	1	80	263	0	88	3	48	178	0	85	14	0	52	220	6	84	45	2	8	21
MBD5	4	110	22	0	1	14	125	20	1	12	89	1	27	5	0	30	320	1	34	2	31	126	8	38	10	3	39	141	19	40	29	15	4	22
MBNL1	25	729	262	2	19	39	712	264	4	31	488	1	226	21	12	144	1873	2	458	11	145	921	12	367	19	39	185	988	49	248	98	156	34	125
MBP	10	311	112	2	10	8	328	90	5	15	205	15	95	22	4	56	1132	12	183	9	37	660	15	140	27	20	69	486	44	161	133	51	4	98
MCL1	8	418	734	25	0	12	502	535	40	15	355	1	458	144	1	24	807	1	877	98	66	640	4	837	179	1	120	701	13	471	722	8	7	74
MDM2	3	125	46	1	2	5	82	35	1	2	73	3	32	2	0	15	228	0	60	6	36	189	9	70	7	2	41	149	26	75	30	13	4	18
MDM4	17	341	182	5	0	43	355	121	6	36	220	0	98	12	0	138	777	0	199	8	249	533	3	231	36	0	240	546	14	163	50	6	26	80
MECP2	6	243	63	3	1	11	214	54	1	17	175	2	59	12	0	45	548	0	92	7	66	416	0	107	28	8	98	400	11	100	85	13	13	61
MED11	3	150	47	1	1	5	117	30	0	11	108	0	33	5	0	43	356	0	59	7	42	207	0	63	8	2	28	159	3	50	45	2	7	24
MED12	13	295	105	7	1	20	266	80	2	13	190	0	72	17	0	70	514	1	82	1	60	358	2	118	32	1	64	282	6	101	83	2	11	36
MED13	4	126	79	1	0	13	123	42	2	12	92	1	49	7	0	37	256	0	77	4	54	199	9	102	13	5	70	238	27	66	68	15	3	15
MED13L	6	242	231	3	0	31	242	194	6	27	140	4	164	49	1	66	574	3	315	25	114	337	21	446	73	1	117	351	59	409	196	9	13	62
MED27	10	316	104	2	1	28	277	132	1	13	225	0	137	14	0	77	753	0	155	5	107	478	0	202	22	1	117	377	4	91	65	1	23	40
MED28	9	127	81	1	0	10	108	53	1	1	112	1	49	9	1	41	379	3	102	4	45	212	11	101	5	4	58	220	21	84	26	1	7	29
MEF2A	12	51	102	1	0	11	63	63	0	18	40	0	59	3	0	52	188	0	155	1	74	89	0	138	7	2	131	78	2	80	25	15	7	16
METTL9	3	138	213	0	2	4	158	119	1	5	115	4	126	9	0	28	383	14	198	6	43	255	7	317	18	4	43	297	70	199	82	17	6	40
MFN1	19	478	146	5	0	27	451	100	1	37	327	0	118	25	1	116	1035	1	187	11	152	704	2	220	26	1	100	388	6	111	55	0	23	72
MFSD11	4	174	61	1	0	8	137	41	2	7	74	0	39	2	0	25	266	0	69	1	39	224	1	63	12	3	33	151	5	46	36	7	7	24
MGAT4A	20	986	219	12	0	35	973	152	9	48	684	0	136	56	1	128	2057	1	257	15	129	1356	2	343	65	0	179	1286	23	172	196	3	18	162
MGLL	2	74	41	1	6	2	74	28	0	7	37	0	39	3	11	38	414	0	86	2	21	191	0	79	9	40	20	99	3	60	12	61	17	64
MICAL3	23	445	146	3	0	51	472	122	1	46	323	0	122	18	1	129	848	1	131	10	181	576	3	185	37	0	148	427	22	107	47	3	24	66
MID1	18	536	153	11	0	30	459	117	9	32	348	0	107	23	1	110	1131	0	215	6	121	701	2	233	28	0	117	489	16	115	72	0	28	70
MIDN	9	195	326	5	1	5	176	323	14	26	157	2	308	94	1	29	288	0	518	24	42	234	1	483	93	1	48	237	7	507	339	4	2	19
MIER1	2	217	90	1	1	19	248	59	1	11	169	1	73	8	1	35	609	0	122	14	78	434	1	141	19	1	102	410	18	137	100	13	4	44
MIGA1	4	199	121	3	0	10	166	79	2	9	117	0	78	20	1	60	514	0	143	7	62	342	1	163	24	0	44	233	2	83	45	2	11	40
MINDY2	15	214	61	0	0	15	221	46	2	10	160	0	59	23	1	31	552	1	87	9	50	317	0	109	22	4	41	216	5	58	59	5	7	39
MKNK2	3	114	42	2	0	12	148	69	5	12	71	2	29	7	1	63	276	12	83	10	90	139	13	59	24	0	74	121	45	33	61	2	9	19
MKRN1	1	100	90	0	9	7	97	85	2	14	74	127	79	8	3	33	258	139	117	7	46	165	439	184	18	29	57	205	1115	148	61	66	8	28
MLF2	5	111	61	3	0	7	109	60	1	6	66	1	44	16	1	26	234	1	76	6	22	146	5	80	23	0	41	172	9	77	89	8	12	23
MLH1	16	309	74	3	0	20	289	65	1	30	239	0	62	9	1	54	576	0	99	5	91	474	1	103	13	0	109	350	8	71	40	1	16	53
MLLT6-1	11	411	87	5	0	18	334	67	10	12	269	0	43	25	1	60	875	0	92	8	55	425	1	113	36	0	53	309	1	67	58	0	12	53
MLX	39	627	224	12	0	36	566	197	1	37	347	0	151	29	0	249	1995	1	435	14	186	1019	1	488	73	2	125	656	11	163	98	3	66	250
MMP24OS	2	98	46	1	3	5	100	35	0	6	61	1	43	5	4	22	267	3	90	1	28	157	13	109	6	8	21	152	12	85	26	20	1	24
MOB1A	15	211	197	1	8	20	212	159	3	24	169	0	140	11	13	85	549	0	339	9	136	441	0	346	33	31	229	433	8	328	178	89	19	48
MORC3	8	138	56	1	1	5	134	41	0	7	97	0	39	7	0	50	331	0	78	2	49	266	3	86	7	3	42	245	23	42	21	13	7	30
MORF4L1	14	652	259	2	7	36	648	175	1	44	475	5	181	17	4	137	1479	7	357	7	190	1089	24	314	5	33	335	1302	117	401	104	153	27	141
MPC2	2	152	45	0	0	11	119	27	0	10	124	8	44	1	2	19	334	2	62	3	41	259	17	52	4	11	88	349	87	72	26	35	6	38
MPLKIP	6	106	28	1	0	6	76	26	1	8	54	0	34	4	0	38	363	0	76	3	25	197	0	64	3	2	31	162	8	63	13	2	7	39
MRFAP1	6	231	74	0	3	14	203	53	0	5	169	11	64	2	2	42	493	8	101	6	52	382	23	78	3	8	92	508	65	83	15	11	2	41
MRPL33	2	192	99	1	0	10	215	53	1	9	147	0	72	2	0	33	440	1	154	3	61	357	4	129	5	0	61	336	9	105	17	7	10	54
MRPL57	11	278	83	0	2	14	245	67	0	14	181	0	79	5	1	40	674	0	138	1	56	481	5	107	7	0	67	493	4	115	25	7	7	47
MS4A4E	21	474	179	4	4	26	357	145	1	32	282	0	143	17	6	62	647	0	170	11	109	393	3	177	30	3	103	347	6	131	63	6	9	19
MSL1	2	103	53	3	0	4	109	47	6	7	86	0	33	21	0	15	257	0	89	15	31	124	0	104	43	2	20	113	5	48	139	1	6	23
MSN	10	365	376	5	27	19	392	292	10	19	294	0	297	33	10	74	978	0	490	6	73	546	1	549	30	33	102	656	18	629	235	144	9	91
MT-ATP6	1026	20730	7505	35	139	906	15215	4702	50	1918	22009	71	8341	302	367	3603	30362	20	6394	22	8700	35783	328	13990	212	639	9465	35003	430	12489	701	1137	1210	4238
MT-ATP8	17	461	229	1	3	24	297	141	3	36	336	0	160	6	9	144	741	0	293	1	188	574	16	365	5	20	93	386	5	130	9	36	27	63
MT-CO1	703	15583	11218	15	115	916	13325	6748	18	1784	20410	339	12096	185	278	4768	36799	83	12202	14	6171	28094	1039	19740	92	637	7879	31108	900	14089	631	1489	1260	4217
MT-CO2	945	19834	8990	16	124	1158	14527	5601	37	1840	19097	47	9115	247	294	5172	38436	24	10199	35	9620	36846	353	16863	344	500	8434	32873	465	12082	765	970	1147	4115
MT-CO3	1302	26799	9956	68	116	1210	16933	5478	43	2116	21458	88	8064	340	205	5527	47279	30	10456	13	10452	43094	499	19609	238	716	9565	37531	641	12468	1196	1078	1436	4818
MT-CYB	758	16592	4987	38	73	666	11006	2835	34	1248	15649	71	4968	272	188	2476	24023	12	4390	16	6247	27233	188	10293	271	362	5481	21110	293	7256	496	633	685	2830
MT-ND1	567	11747	6100	36	41	594	8636	4202	55	1019	10766	38	5465	214	138	2106	19415	14	6340	58	4770	18939	172	10817	324	262	3809	13741	178	6003	500	377	325	1094
MT-ND2	403	8719	3651	26	146	409	6834	2598	48	730	8593	42	4233	243	293	1262	11909	14	3959	42	3363	12073	134	7567	281	488	2951	10665	219	4883	333	904	245	941
MT-ND3	1160	22691	8759	25	70	988	11777	5499	53	2212	19028	57	8878	205	145	4749	34158	13	8310	17	7491	24753	120	14281	272	320	4614	17278	205	6784	532	298	1110	3327
MT-ND4	706	11803	5323	23	85	682	9848	3772	41	1383	14844	64	6826	381	224	2924	23258	25	5931	16	5251	19117	232	8921	214	329	5543	19977	282	7523	634	680	845	2895
MT-ND4L	50	715	481	1	9	57	628	394	9	118	846	6	543	49	23	264	1465	2	515	8	438	1043	28	734	22	20	347	841	32	403	48	28	59	130
MT-ND5	153	3514	1419	6	20	162	2899	963	8	276	4047	41	1589	48	32	898	7139	7	2050	9	1069	4540	118	2150	43	60	1325	5033	101	1695	78	151	213	852
MTATP6P1	489	10061	3369	8	69	369	6068	1583	12	705	8807	29	2992	85	131	683	5970	2	1319	4	1931	7784	74	2682	42	118	1866	6247	86	2498	95	242	75	238
MTCH1	9	182	156	1	1	16	197	128	2	11	134	1	106	6	1	48	389	5	200	5	75	329	3	147	13	4	77	281	27	164	37	15	3	40
MTDH	8	395	244	2	2	33	457	203	2	40	413	0	198	4	3	119	1153	0	416	0	157	774	1	414	6	0	243	934	20	405	29	18	19	141
MTHFD1	33	967	322	7	0	59	961	223	8	54	757	1	222	48	2	249	2413	2	398	15	276	1659	3	512	55	1	251	997	17	227	150	7	59	238
MTND1P23	23	313	164	0	3	21	281	112	3	24	237	0	119	5	3	152	1462	1	445	0	193	938	6	725	10	19	2872	8775	128	5149	287	281	534	1656
MTND2P28	8	131	48	3	2	7	82	38	2	11	93	1	59	3	6	21	144	0	51	1	64	139	1	97	2	11	30	94	6	37	2	20	7	8
