gene	Control_#1_B_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_T_cell	Control_#2_B_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#2_T_cell	Control_#3_B_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	Control_#3_T_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
RPAP2	24	103	3	1	646	51	97	0	664	50	1	85	3	1	465	174	0	143	2	1596	172	2	136	11	0	793	192	13	97	16	0	655	27	130
SEPTIN7	36	245	3	14	795	42	188	8	926	58	1	174	45	17	639	233	0	360	13	2400	365	7	358	45	58	1733	425	25	412	252	200	1671	56	229
CBX3	15	118	0	3	249	13	88	1	255	10	1	83	9	0	198	60	1	202	5	920	75	1	195	10	7	639	101	24	209	71	26	555	9	91
HNRNPA2B1	70	556	9	8	1846	121	465	3	1729	121	2	392	28	8	1128	403	2	799	12	3960	550	19	892	42	48	2821	824	126	902	192	167	3210	76	385
NT5C3A	3	20	1	26	83	9	22	0	112	5	2	30	2	20	92	52	1	45	3	243	30	6	46	6	72	146	40	49	38	41	360	211	9	22
CLTA	2	113	0	2	102	2	93	0	117	5	0	96	2	3	84	40	1	213	3	444	37	1	207	7	12	394	39	5	193	25	33	295	5	41
SRGN	4	2246	108	32	1220	7	1946	212	1546	4	8	1663	898	60	1028	21	4	2686	311	2021	41	0	2381	782	161	2211	100	65	3034	5040	438	2823	5	186
VPS26A	4	51	1	3	94	4	38	0	99	6	3	28	2	0	86	16	2	73	2	227	34	8	71	8	4	191	50	23	101	33	7	166	4	17
MED13L	6	231	3	0	242	31	194	6	242	27	4	164	49	1	140	66	3	315	25	574	114	21	446	73	1	337	117	59	409	196	9	351	13	62
RNF11	1	67	1	11	61	3	31	0	68	0	18	30	7	9	40	1	22	45	4	77	19	77	80	10	28	70	17	184	75	54	85	93	1	7
ITPR2	5	48	1	2	90	8	37	1	73	8	0	39	3	1	57	20	0	65	0	227	31	1	109	4	6	118	48	4	44	30	24	135	5	24
TRIR	24	209	2	5	472	33	138	0	474	39	0	141	7	12	385	140	1	289	9	1292	160	16	275	4	22	896	216	28	272	75	70	930	22	111
PFDN5	71	931	0	0	1785	118	792	2	1718	119	12	852	15	1	1441	479	18	1429	11	4763	566	53	1326	20	3	2551	1007	155	1400	182	27	3877	111	490
SPATS2	8	55	3	1	155	10	31	0	154	11	1	42	8	0	110	48	0	90	3	607	53	3	111	14	6	293	36	7	42	16	11	211	19	62
TUBA1B	10	295	0	21	212	19	176	5	384	10	1	335	18	19	193	68	0	388	7	944	49	16	561	5	109	1512	103	61	365	24	219	1505	16	126
AMD1	7	69	0	3	180	18	66	1	297	18	1	57	3	8	115	26	0	119	3	415	57	0	113	5	21	307	77	14	79	14	35	384	7	35
NMI	5	37	4	0	75	4	33	3	58	5	1	27	19	0	61	22	1	87	20	297	43	0	74	8	0	214	23	12	78	69	10	179	4	28
BAZ2B	14	217	7	0	372	40	180	5	410	26	1	121	33	0	275	107	0	361	21	1157	153	3	332	42	3	698	131	15	160	147	3	513	39	137
LPGAT1	7	115	1	0	132	9	72	4	117	12	0	66	16	0	87	38	1	139	9	218	49	0	118	24	0	168	80	3	104	130	5	175	4	25
AGO2	3	37	2	5	81	4	40	1	91	3	2	15	9	1	57	25	5	80	4	221	28	23	53	3	0	152	29	33	48	50	8	147	1	19
PREX1	5	88	4	0	135	6	82	7	138	7	0	69	20	1	94	15	0	120	17	283	26	1	141	23	0	256	19	3	84	165	3	187	4	21
NCOA3	14	71	0	0	98	19	56	0	106	35	0	49	2	1	92	98	0	115	1	319	138	0	101	4	5	146	171	4	103	24	24	203	21	26
ATP5F1E	66	1321	7	14	1869	127	1043	22	2086	145	116	1224	86	18	1478	494	174	1944	54	5764	565	983	2096	137	95	3690	773	2427	1839	1050	327	4062	119	611
SRSF6	9	90	1	3	160	18	67	0	182	20	0	69	1	1	131	32	0	108	0	348	76	2	122	3	6	248	110	8	93	14	54	309	15	23
STAU1	2	42	0	0	98	5	37	0	93	7	4	27	4	5	77	32	8	71	1	314	34	36	60	11	4	187	49	93	97	40	23	194	3	37
STX16	2	83	0	2	226	7	60	4	200	3	2	61	9	0	157	26	0	94	1	597	28	5	104	4	1	356	43	12	83	35	6	292	12	51
USP22	8	50	0	0	99	9	46	2	105	6	1	29	5	2	59	30	0	77	2	266	40	1	75	7	10	202	51	1	44	20	21	189	11	29
USP9X	5	67	4	2	97	12	51	2	134	13	2	48	13	0	97	30	2	100	7	266	38	15	82	21	2	153	60	59	67	51	11	180	6	19
RPS10	197	1279	0	0	6430	464	1389	6	7851	594	3	1474	10	1	6307	1711	12	2237	4	18222	2008	77	1666	11	4	9799	3760	248	1905	75	17	15549	379	1876
DEK	8	211	1	4	368	14	168	2	407	17	0	171	11	1	282	73	0	293	4	1078	76	2	329	4	13	901	126	19	306	104	14	1002	18	84
LRRFIP1	22	786	15	8	508	60	663	18	600	30	4	563	88	3	412	124	1	1025	42	1502	149	0	760	84	4	1107	354	8	901	625	61	969	30	129
EMC3	5	54	0	12	106	7	48	2	110	14	17	48	5	18	96	28	37	87	5	274	35	133	108	12	48	194	30	394	115	42	197	223	7	31
TM9SF2	6	86	1	0	57	6	74	1	72	5	0	73	4	1	51	13	0	108	5	195	23	0	155	2	1	158	50	4	101	16	7	140	5	14
IRF1	48	508	60	0	1840	54	559	36	1769	52	0	441	101	1	1329	176	4	576	89	2105	345	6	679	317	0	2261	326	26	525	577	4	2057	56	133
NDUFA1	10	229	2	4	520	26	217	1	464	20	4	214	9	4	398	93	1	352	11	1178	120	24	337	13	19	989	167	122	413	132	50	1103	22	143
PPDPF	21	113	0	25	485	59	166	0	858	31	1	119	0	52	473	229	7	394	1	2328	173	40	205	0	71	1006	336	43	292	9	154	1324	23	214
RPL23	130	1306	2	1	3813	285	1299	3	3562	269	2	1321	12	1	2151	894	2	1835	5	8707	1103	7	1565	15	3	4938	1860	105	1775	112	13	7515	129	623
FOSB	17	278	11	1	602	35	325	20	1039	25	0	151	52	0	403	49	2	422	22	830	46	2	418	35	0	371	136	5	109	113	2	481	8	23
VASP	2	250	11	7	73	13	225	18	129	8	1	209	51	5	69	38	0	386	25	381	33	0	377	60	30	217	72	5	507	354	120	218	19	35
GPCPD1	4	475	4	0	115	10	319	2	86	12	1	278	29	0	73	26	0	292	5	184	40	12	485	37	1	197	41	107	356	98	16	191	4	12
PANK2	1	42	2	1	95	3	24	2	94	4	1	27	8	1	80	21	1	59	5	259	13	3	67	16	9	155	18	0	70	47	17	148	7	31
TMX4	6	63	1	2	165	10	60	2	179	6	0	47	15	0	139	24	0	94	5	335	59	2	108	16	2	231	86	3	107	85	16	229	7	24
SNRPB	13	129	0	0	360	20	82	1	379	25	0	124	2	1	260	70	0	202	1	874	131	4	163	7	4	884	216	10	229	37	13	899	24	94
MAX	4	47	3	32	172	10	24	2	187	7	0	33	11	23	106	27	1	69	4	426	38	5	75	6	82	267	49	21	60	67	218	310	7	35
RALY	2	56	0	5	132	8	49	0	136	7	0	51	5	1	110	29	0	98	1	329	29	5	89	7	9	298	61	7	118	25	43	320	4	26
DYNLRB1	2	44	0	2	178	5	55	0	201	9	1	57	3	6	169	42	3	111	1	588	31	19	87	5	31	366	80	63	137	32	137	464	10	53
MMP24OS	2	46	1	3	98	5	35	0	100	6	1	43	5	4	61	22	3	90	1	267	28	13	109	6	8	157	21	12	85	26	20	152	1	24
CAPNS1	1	179	0	2	155	9	139	1	175	13	0	147	4	5	116	33	2	251	1	452	37	3	274	7	33	298	60	10	247	18	68	289	9	45
HCST	2	310	0	1	910	3	283	4	1287	0	0	251	4	6	816	30	1	533	5	3295	16	0	365	3	17	1587	38	13	329	45	126	1741	5	292
COX6B1	22	256	1	6	442	28	229	2	486	23	3	267	17	6	424	126	3	453	7	1446	108	58	417	13	31	877	179	206	556	150	120	1352	36	195
PRDX5	7	123	1	4	191	17	84	3	181	12	10	104	13	9	107	54	33	162	4	572	68	41	209	6	31	332	97	60	215	146	97	506	8	58
BECN1	1	35	1	0	87	10	33	1	95	11	0	31	4	3	78	16	2	58	5	172	29	13	45	5	2	139	34	17	66	13	14	160	1	21
UXT	12	101	0	2	421	27	95	1	420	41	0	98	3	0	340	100	0	164	0	1139	137	2	125	3	6	649	191	22	146	16	18	873	15	101
MAP2K2	6	79	0	1	173	16	79	0	201	12	7	71	3	1	155	62	6	134	2	528	79	34	126	4	8	399	88	53	146	45	25	491	16	63
HNRNPH2	5	81	1	1	96	8	48	0	82	5	0	59	15	0	82	21	0	98	13	206	22	0	105	18	7	170	38	9	116	57	15	190	5	8
COX7C	48	483	0	1	1574	91	417	0	1435	96	3	482	2	2	1156	359	6	724	1	4343	420	51	647	1	8	2548	641	206	815	13	37	3425	71	454
RAP1B	12	416	3	98	796	43	453	5	831	20	1	497	31	60	642	126	1	512	18	1923	150	1	563	15	300	1301	300	37	980	201	1208	1291	31	150
UBR4	3	74	0	1	96	7	57	3	110	9	2	50	13	0	63	22	0	78	2	201	51	9	126	21	6	192	41	23	73	67	11	135	7	16
HP1BP3	12	107	3	0	387	21	90	2	409	14	1	88	12	0	297	86	1	157	1	966	82	3	160	15	2	620	133	19	214	41	4	648	28	95
SLC35E1	4	40	0	2	71	4	23	1	68	8	1	30	7	1	44	14	0	80	2	161	24	0	62	11	6	213	15	3	39	40	19	107	3	14
KLF2	112	175	5	0	3140	328	153	13	3050	207	3	220	106	1	2130	496	7	305	63	4785	435	3	316	101	0	3080	2328	52	703	465	5	4132	91	328
UQCR11	10	328	0	12	572	30	239	7	567	16	10	263	19	13	448	125	17	506	12	1539	117	109	417	11	49	993	195	212	518	131	188	1236	28	196
MACF1	27	291	1	4	819	43	227	5	733	34	1	178	35	3	498	182	0	312	8	1961	228	1	431	26	16	1267	158	13	273	105	48	873	18	173
TUBA4A	5	30	0	81	183	12	10	3	185	7	2	25	15	79	138	36	2	38	1	517	28	7	52	11	178	407	36	74	49	71	531	319	6	39
AKAP9	9	128	0	0	351	32	147	1	411	26	0	112	11	0	298	132	0	267	4	1068	151	23	234	4	18	585	134	73	129	14	3	558	14	95
ZFP36	19	679	33	0	1078	29	486	72	1413	22	1	564	171	1	658	68	0	758	38	1147	71	1	969	190	1	1402	205	18	637	707	4	1467	12	37
ATF4	11	218	0	13	284	27	182	1	369	21	1	193	5	5	162	49	0	230	4	471	99	6	339	8	34	475	206	39	321	35	156	562	15	37
TPST2	1	49	2	14	164	10	38	1	176	6	0	44	4	8	124	17	1	64	4	366	35	4	117	12	50	209	18	36	79	55	237	166	3	28
RAC2	23	150	4	0	454	27	140	8	553	37	0	122	29	2	362	124	1	235	22	1689	98	2	222	35	4	970	167	8	328	157	20	1018	43	208
ATP6V1F	7	258	0	7	135	9	192	0	164	11	0	181	6	1	111	45	0	360	7	431	56	14	341	4	9	309	129	17	375	44	31	347	12	48
NDUFA5	7	27	0	2	179	11	25	1	183	15	0	38	2	6	126	40	0	79	1	513	54	15	57	4	25	332	96	43	83	17	60	362	11	49
HAT1	2	25	0	1	55	6	29	1	66	3	0	23	3	0	52	21	0	50	2	191	19	0	46	6	1	135	21	1	39	24	5	161	6	15
MINDY2	15	61	0	0	214	15	46	2	221	10	0	59	23	1	160	31	1	87	9	552	50	0	109	22	4	317	41	5	58	59	5	216	7	39
ARPP19	10	46	1	7	149	17	32	0	139	18	0	33	2	3	101	36	0	69	4	302	77	2	71	8	8	265	125	9	75	25	15	236	8	25
MBD4	14	85	1	2	117	14	45	1	120	22	0	44	5	1	67	80	0	88	3	263	48	0	85	14	0	178	52	6	84	45	2	220	8	21
SPCS3	8	199	2	0	206	8	124	3	269	9	0	111	6	0	191	34	0	212	5	617	60	0	266	5	4	573	88	10	250	46	14	754	14	112
FXR2	10	26	2	0	272	10	19	1	239	8	0	17	3	1	162	24	0	37	2	356	28	2	46	9	0	279	41	5	30	14	2	164	3	28
PHF20L1	6	98	2	4	196	10	66	3	166	16	0	84	26	3	137	24	0	151	6	396	51	2	156	31	10	278	46	20	74	122	50	223	5	23
SLC44A2	4	13	1	3	71	10	16	4	68	4	1	14	6	5	46	23	0	34	4	175	36	0	35	8	19	114	43	7	37	44	42	115	2	16
CDKN2D	8	217	4	31	294	14	133	4	226	12	18	197	72	39	204	51	21	215	20	451	43	55	288	42	132	300	79	134	435	295	411	634	4	83
SNX6	3	63	3	0	191	9	42	1	195	11	0	62	12	3	149	61	0	123	5	637	61	0	119	7	9	362	93	9	142	74	22	478	7	63
DAD1	5	104	1	4	222	10	77	1	298	13	1	69	3	3	242	45	0	150	6	836	32	9	127	4	19	415	67	57	165	37	94	601	9	114
REEP5	3	123	1	1	131	9	106	2	151	10	0	118	5	0	150	46	1	197	3	328	36	1	219	4	10	395	61	8	266	58	22	289	3	64
SEC14L1	0	84	4	4	79	10	92	3	74	7	17	79	53	2	71	10	8	148	21	179	30	44	166	70	49	185	55	136	163	240	150	270	4	15
ABHD17A	2	93	0	5	409	9	47	1	426	14	0	59	1	8	277	33	0	94	2	818	38	0	96	1	29	665	52	8	127	18	82	636	6	87
SAT1	12	2303	141	51	721	40	2025	175	614	33	13	2072	556	99	440	88	13	2851	369	947	273	19	3041	662	258	1225	364	80	2827	2581	480	1289	29	118
GNL3L	21	144	6	2	460	45	118	4	423	29	1	105	14	0	361	101	0	194	13	1002	127	7	219	34	2	665	129	12	120	83	5	511	15	75
LDLR	16	398	7	0	600	29	250	8	560	34	1	229	35	3	325	137	0	406	6	1464	157	1	473	51	0	937	108	12	258	148	1	787	29	184
RPL36	231	1113	1	1	6777	376	1090	0	6603	489	4	1091	0	0	5187	1830	8	2221	1	19310	2097	33	1396	4	3	10381	2901	161	1456	33	26	12868	358	1992
PGLS	3	177	2	0	106	7	138	1	125	17	0	135	6	0	92	45	0	237	1	405	57	0	230	6	1	257	89	3	264	36	7	340	15	48
SNX9	19	72	0	5	169	38	58	0	131	9	0	84	3	2	73	56	0	109	1	303	348	2	91	2	13	418	257	7	177	14	58	357	3	21
ARPC1B	10	775	0	97	463	38	565	5	617	26	0	721	33	80	461	164	0	1315	13	1929	169	0	1250	18	311	1416	244	29	1192	185	903	1291	57	232
JUND	209	1761	27	1	6280	429	1139	76	6078	327	14	1121	163	3	4365	780	24	1492	95	6498	1963	83	1406	135	12	5462	3999	366	1523	656	33	7003	185	454
CHMP2A	2	124	1	3	153	8	73	4	156	8	1	122	23	0	103	34	3	215	13	472	39	21	149	25	8	340	67	63	224	173	47	348	9	56
UBE2M	0	69	0	4	112	12	34	0	150	2	2	65	8	2	97	26	3	91	5	319	32	11	77	14	3	191	44	76	100	48	28	243	8	41
GMFG	8	382	8	6	695	25	291	12	746	31	2	392	97	6	558	116	0	583	54	2156	97	2	569	68	21	1499	164	19	861	718	98	1949	16	243
CLIP1	9	178	1	4	386	25	128	1	281	18	1	143	18	0	262	102	0	317	2	1028	134	1	342	43	8	628	120	7	232	118	23	405	23	101
ZNF426	25	115	5	0	425	25	110	1	401	20	0	131	27	2	285	119	1	231	4	1172	122	2	251	32	0	747	95	5	107	58	2	431	26	101
RBM39	55	521	5	5	1554	86	358	5	1262	100	0	398	35	3	963	259	1	634	17	2438	614	24	658	50	15	2231	1003	112	696	208	84	2610	65	192
COX4I1	51	634	1	3	1304	86	521	2	1280	100	3	533	9	5	990	304	0	963	3	3399	484	6	807	11	20	2364	687	43	935	85	64	3010	69	337
SH3BGRL	9	302	0	10	184	22	219	0	225	27	22	281	13	22	174	106	17	457	4	653	93	63	436	5	50	401	152	210	434	65	142	466	21	58
COX7B	10	257	0	2	375	14	202	2	378	27	1	222	11	2	268	72	2	380	5	983	91	54	315	8	10	813	156	265	453	94	30	1005	19	122
CAP1	3	282	4	17	218	14	200	8	280	8	0	232	56	13	174	67	0	463	23	718	43	1	436	43	40	493	63	13	469	334	166	448	13	75
SH3BP5	9	50	4	1	115	12	50	1	110	13	0	45	9	1	135	66	0	90	8	298	112	0	48	10	11	263	78	4	41	41	22	248	15	47
NR1H2	3	49	1	1	117	8	33	1	97	14	0	51	2	3	73	22	1	75	2	209	34	3	60	2	6	135	73	30	105	21	19	172	1	18
NDUFA2	8	100	0	0	210	12	96	1	189	13	0	88	6	1	154	36	5	140	4	547	47	32	140	11	1	381	81	124	197	86	19	596	19	78
DIAPH1	1	191	1	10	221	13	129	0	262	6	0	136	5	11	172	24	0	240	2	601	21	1	178	8	23	376	54	4	166	34	69	284	6	52
UBE2D2	12	94	0	1	373	27	78	4	348	25	0	88	7	2	265	114	6	165	4	1105	147	8	173	8	4	712	154	34	216	58	27	851	18	105
DNAJB1	109	197	1	2	1743	55	169	0	1746	79	1	127	23	2	876	142	2	251	12	1682	305	6	317	52	0	1410	311	56	258	95	10	1156	19	137
RAF1	7	154	5	0	190	12	85	9	212	17	0	94	58	0	151	43	1	135	23	449	103	4	229	134	0	465	97	11	147	261	8	319	8	43
SEC61G	8	163	0	1	345	10	125	1	394	18	0	114	3	0	357	57	0	228	1	960	94	6	194	1	2	763	125	20	241	12	23	893	13	174
WBP2	3	50	1	18	71	7	30	1	59	5	10	33	9	7	54	23	16	73	8	220	22	39	57	14	53	95	38	151	50	49	149	114	1	23
H3-3B	39	1036	43	12	2236	135	776	92	2304	106	1	852	382	18	1449	361	4	1442	194	3996	584	13	1687	335	49	5496	1424	118	1846	1748	135	7438	135	490
KDM6B	8	221	15	0	345	15	214	16	333	6	4	163	76	2	217	30	0	309	29	315	48	4	259	101	1	339	93	1	113	275	1	232	5	16
FLOT2	1	37	3	0	66	3	27	1	80	8	0	32	13	1	55	22	0	51	3	177	33	6	66	6	3	119	23	16	40	55	1	113	7	19
NASP	11	73	0	1	283	26	44	1	428	21	0	68	7	1	281	74	0	131	8	846	79	1	122	7	0	815	68	8	87	27	5	628	9	85
RBM38	9	26	0	8	273	29	25	0	226	11	88	6	1	3	150	57	130	27	1	412	107	521	23	3	15	497	98	1043	36	8	39	358	2	21
OSER1	5	63	2	0	149	18	58	7	132	10	2	52	18	0	105	32	3	38	7	201	39	10	53	18	4	271	61	41	100	92	13	274	8	7
SERINC3	4	96	4	2	201	11	57	5	193	7	3	57	15	0	162	22	4	103	4	348	29	16	118	35	14	364	52	46	97	122	41	277	0	23
POMP	4	166	0	0	189	16	118	1	274	11	2	134	11	0	180	59	2	258	8	571	95	6	281	5	5	707	142	57	378	79	34	696	14	81
TPT1	388	4886	16	18	17882	685	3854	21	16985	876	79	4053	142	24	13503	3130	131	6509	63	49561	3924	295	6367	144	75	29400	5810	1730	5733	760	429	37962	671	5195
SRRM1	28	245	1	0	634	43	212	2	687	53	0	229	4	1	474	151	0	424	8	1569	213	6	416	12	3	1293	301	15	427	71	16	1337	43	172
CSNK1G2	3	54	1	0	154	8	36	1	159	5	0	38	5	0	105	33	0	90	1	365	41	0	69	9	2	190	65	2	87	36	9	189	8	25
MKRN1	1	90	0	9	100	7	85	2	97	14	127	79	8	3	74	33	139	117	7	258	46	439	184	18	29	165	57	1115	148	61	66	205	8	28
BTG1	97	745	5	2	4544	277	392	8	3980	188	3	540	72	0	2825	797	3	889	26	9036	1157	5	777	59	1	6789	1181	143	744	390	22	7612	95	376
KRAS	9	64	2	0	210	15	55	0	219	15	0	94	12	1	147	38	0	118	1	496	78	0	124	10	7	383	222	14	183	145	22	426	16	47
ZFC3H1	4	95	1	0	207	11	74	5	176	14	0	74	7	1	113	33	0	103	3	398	59	1	111	18	0	286	114	6	118	54	2	285	7	23
SARAF	23	251	4	2	1568	48	206	7	1403	26	5	229	26	3	917	138	5	378	6	3519	228	15	294	46	11	2608	260	102	435	211	38	2712	27	313
NUMB	6	159	2	0	101	10	120	4	106	16	1	103	39	4	58	42	0	231	18	301	56	1	268	42	5	147	46	2	139	213	10	105	6	15
MBD2	4	197	0	1	152	17	113	0	177	12	1	128	8	1	125	43	0	187	1	315	68	3	279	11	1	333	93	5	578	88	9	301	4	33
VHL	6	118	2	0	152	16	83	1	124	24	1	68	10	0	90	50	0	119	2	383	71	1	148	16	0	233	88	17	83	86	7	235	11	45
LAMTOR5	21	121	0	0	163	19	68	5	162	27	6	105	10	0	121	74	6	149	4	435	78	58	149	4	4	367	140	184	161	40	20	333	12	53
NAPG	3	51	0	1	54	7	40	0	63	4	0	45	3	1	38	11	0	92	2	146	35	0	81	4	2	156	24	67	95	10	96	175	2	10
PPHLN1	25	152	6	0	589	35	65	1	426	37	0	96	10	1	342	137	0	170	11	1300	129	5	179	21	1	916	179	22	121	67	1	800	42	135
SLC38A2	13	136	0	1	328	15	102	1	366	13	1	85	7	0	205	40	0	159	6	595	82	0	176	11	3	447	111	33	200	73	7	500	7	25
KIDINS220	20	214	4	1	513	29	161	1	507	29	2	107	22	2	386	99	0	264	17	1090	140	16	320	25	2	694	124	48	195	148	12	578	14	74
TIMM17A	17	214	3	0	415	24	151	5	407	22	0	139	17	1	289	105	1	229	4	899	132	2	265	21	0	638	157	6	181	108	0	492	19	88
RPS15A	346	1831	3	7	11959	575	1658	2	11474	741	6	2020	11	7	9740	2754	20	3215	10	32828	2966	98	2139	14	12	19643	4840	431	2537	145	129	23170	553	3101
DSG3	21	146	7	0	439	28	133	4	426	25	1	110	23	0	333	117	0	229	12	1133	183	2	242	39	0	664	164	9	148	73	6	499	29	92
TMEM258	7	179	1	0	408	17	131	3	367	16	0	157	2	1	331	61	0	283	5	1102	60	2	217	3	5	648	128	16	254	31	28	769	13	134
ARGLU1	28	147	0	1	641	67	131	1	598	62	0	97	12	0	432	203	2	232	8	1679	295	2	212	4	4	1076	335	31	238	63	3	1018	29	146
OSTF1	2	90	0	8	177	8	69	7	183	9	0	84	17	5	120	42	0	129	8	525	52	0	119	4	16	345	59	4	168	96	75	294	6	56
UBQLN1	4	66	0	0	108	5	45	0	95	6	3	47	5	2	87	20	2	80	1	205	28	18	80	7	2	184	65	72	93	37	15	192	3	15
ISCA1	2	24	0	11	144	9	20	0	163	4	55	25	3	6	131	8	29	29	1	273	42	312	42	10	35	296	54	507	38	36	151	317	3	26
TAOK3	1	131	2	5	220	13	105	3	214	12	0	108	14	2	148	52	0	205	7	636	73	3	199	13	30	357	109	14	207	84	47	315	8	56
P2RX4	6	156	2	0	124	12	109	2	99	6	0	114	3	0	85	25	0	131	2	289	20	0	228	13	0	181	27	0	178	25	7	127	4	33
PNPLA8	6	110	4	0	110	18	94	1	116	10	3	83	30	0	85	35	0	144	6	186	61	9	147	30	0	236	58	52	120	137	5	226	5	17
AKIRIN2	8	154	1	6	88	9	129	2	115	5	0	111	6	8	65	24	1	140	8	220	64	5	135	16	32	134	97	37	185	87	147	203	7	19
CD63	2	434	1	10	223	10	250	0	307	9	0	317	29	15	190	40	0	680	10	686	55	1	952	20	65	422	86	8	1292	283	261	590	10	74
BLOC1S1	9	123	0	0	150	17	98	1	133	15	1	136	3	1	100	68	1	328	7	432	71	23	282	6	11	368	118	45	368	100	31	354	12	54
CD164	9	160	0	1	251	20	132	2	239	31	0	139	9	3	176	65	0	293	0	700	91	10	284	16	9	453	147	23	273	52	22	546	12	64
USP15	13	295	1	1	413	25	209	7	395	27	18	168	27	0	278	84	21	388	28	967	154	51	360	37	7	646	167	382	284	185	42	661	15	78
MDM2	3	46	1	2	125	5	35	1	82	2	3	32	2	0	73	15	0	60	6	228	36	9	70	7	2	189	41	26	75	30	13	149	4	18
RC3H1	7	77	3	2	108	10	58	3	144	8	1	35	8	0	86	32	1	101	5	294	44	12	129	8	2	210	33	20	74	51	8	162	9	20
CAB39	2	32	1	3	86	11	21	1	86	4	0	23	2	1	59	18	0	83	3	225	23	2	75	12	9	142	21	4	72	45	29	173	2	22
COX5B	16	242	3	0	457	20	219	1	468	25	0	222	15	1	396	129	0	420	7	1299	128	19	400	13	6	943	201	52	631	133	28	1250	38	152
TSGA10	8	91	4	0	147	10	66	2	134	9	0	47	9	1	114	23	0	71	1	329	28	2	81	14	0	162	30	5	72	47	0	134	4	22
GCC2	27	131	2	1	907	36	85	4	763	30	1	63	10	0	444	138	1	176	8	1714	213	4	176	28	3	1577	318	45	181	72	9	1439	21	173
ISCU	8	65	0	6	286	31	53	0	226	33	12	65	13	5	224	109	31	102	4	778	146	137	103	6	18	521	195	377	135	64	100	563	19	88
VPS36	5	61	1	0	161	15	61	2	176	10	0	51	4	0	154	69	0	114	2	561	56	3	107	7	0	292	63	2	78	12	5	245	14	56
ITM2B	23	861	19	60	1377	27	656	84	1238	29	8	511	313	98	916	152	16	1129	199	3573	182	80	1267	280	384	2049	163	323	1259	2333	877	2595	14	289
LCP1	11	877	9	1	607	34	580	34	702	17	1	601	118	1	488	103	0	992	40	1565	91	1	1319	153	0	1345	159	16	1070	1065	10	1279	22	185
CHST12	129	586	11	1	2212	175	433	16	2315	180	5	454	73	3	1777	777	4	854	49	6411	808	12	1212	143	6	3831	594	35	601	384	17	2615	140	646
RAC1	9	451	7	15	306	21	327	9	348	21	1	336	34	22	205	60	0	589	22	743	107	9	894	54	65	627	110	39	737	324	241	548	15	70
DBNL	9	87	1	6	117	25	77	3	129	15	0	70	3	2	86	53	0	140	3	344	91	0	115	10	29	250	71	4	134	30	65	297	12	47
CCM2	8	77	0	1	272	18	58	1	226	19	1	60	7	1	203	56	0	97	0	602	52	1	121	7	5	367	67	3	101	35	16	276	8	46
BRIP1	48	297	7	0	948	63	232	10	1007	54	1	232	45	1	597	299	3	467	17	2957	264	9	587	106	2	1621	238	20	194	163	0	919	88	302
TRA2B	34	161	0	5	673	60	138	3	628	46	0	126	3	0	449	157	0	272	5	1176	268	2	254	8	11	1032	460	45	279	32	29	1280	44	154
TANK	15	133	7	0	160	14	131	2	149	12	5	92	19	1	105	50	3	147	10	223	96	12	135	46	2	248	101	96	139	205	4	221	11	19
UGGT1	5	117	4	2	219	18	92	6	239	10	1	77	15	0	166	62	1	160	7	700	81	7	176	17	2	435	49	13	82	43	6	291	21	79
GYPC	10	40	0	0	323	10	22	6	361	12	106	31	3	0	227	51	205	54	7	960	62	703	62	4	7	763	81	1787	76	11	17	1189	9	167
ABI1	7	56	0	1	126	10	41	1	147	9	0	59	11	5	88	41	0	74	2	295	49	2	87	17	10	217	77	8	73	75	30	191	4	18
YME1L1	23	97	7	1	472	17	72	7	416	16	0	68	23	1	274	48	1	154	13	716	103	1	139	23	4	487	182	13	91	82	9	591	22	64
TXN	3	168	2	0	207	14	107	5	240	3	6	131	39	2	227	28	14	251	24	689	31	33	250	40	5	749	75	146	330	302	38	1019	17	89
C9orf78	15	102	0	1	481	25	85	1	409	22	64	95	11	0	321	60	117	175	4	1093	106	166	160	11	3	894	132	163	248	43	12	842	14	106
ATP6V1G1	25	269	1	0	652	32	202	9	522	50	0	225	11	6	464	176	1	396	15	1608	145	7	348	15	7	940	189	25	427	145	45	1163	32	142
